Disc/track	Artist	Song
AHVP01-01	Righteous Brothers	Unchained Melody
AHVP01-02	Steppenwolf	Born To Be Wild
AHVP01-03	Garth Brooks	Friends In Low Places
AHVP01-04	Janis Joplin	Me & Bobby McGee
AHVP01-05	Joan Jett & The Blackhearts	I Love Rock & Roll
AHVP01-06	Patsy Cline	Crazy
AHVP01-07	Robert Palmer	Addicted To Love
AHVP01-08	Dean Martin	Everybody Loves Somebody
AHVP01-09	Roy Orbison	Pretty Woman
AHVP01-10	Temptations	My Girl
AHVP01-11	Supremes	Stop In The Name Of Love
AHVP01-12	Aretha Franklin	Respect
AHVP01-13	George Strait	All My Ex\'s Live In Texas
AHVP01-14	Whitney Houston	I Will Always Love You
AHVP01-15	Madonna	Like A Virgin
AHVP02-01	Roger Miller	King Of The Road
AHVP02-02	Righteous Brothers	You\'ve Lost That Lovin\' Feelin\'
AHVP02-03	Marie Osmond	Paper Roses
AHVP02-04	Garth Brooks	Two Of A Kind (Working On A Full House)
AHVP02-05	Looking Glass	Brandy
AHVP02-06	Angels	My Boyfriend\'s Back
AHVP02-07	Billy Ray Cyrus	Achy Breaky Heart
AHVP02-08	Louis Armstrong	What A Wonderful World
AHVP02-09	Otis Redding	Dock Of The Bay, The (Sittin\' On)
AHVP02-10	Troggs	Wild Thing
AHVP02-11	Dionne Warwick & Friends	That\'s What Friends Are For
AHVP02-12	Animals	House Of The Rising Sun
AHVP02-13	Joe Cocker	You Are So Beautiful
AHVP02-14	Lesley Gore	It\'s My Party
AHVP02-15	Whitney Houston	Greatest Love Of All
AHVP03-01	Madonna	Material Girl
AHVP03-02	Ray Price	For The Good Times
AHVP03-03	Bill Medley & Jennifer Warnes	Time Of My Life, (I\'ve Had) The
AHVP03-04	Lynn Anderson	Rose Garden
AHVP03-05	Loggins & Messina	Your Mama Don\'t Dance
AHVP03-06	Conway Twitty	It\'s Only Make Believe
AHVP03-07	Elvis Presley	Are You Lonesome Tonight
AHVP03-08	Nancy Sinatra	These Boots Are Made For Walkin\'
AHVP03-09	Village People	Macho Man
AHVP03-10	Fugees	Killing Me Softly (With His Song)
AHVP03-11	Patsy Cline	I Fall To Pieces
AHVP03-12	Beatles	Let It Be
AHVP03-13	Everly Brothers	All I Have To Do Is Dream
