User Type,Username,Date,Text
[V],Murlok,2008-01-25T22:49Z,why donÂ´t go and F yourself Dick head
,oktan,2008-01-25T23:59Z,"/copying.txt	25 KiB
/FretsOnFire.exe	20 KiB
/msvcp71.dll	488 KiB
/MSVCR71.dll	340 KiB
/python24.dll	2 MiB
/readme.txt	8 KiB
/Uninstall.exe	52 KiB
/data/2x.svg	21 KiB
/data/3x.svg	21 KiB
/data/4x.svg	22 KiB
/data/amanith.dll	1 MiB
/data/ball1.svg	3 KiB
/data/ball2.svg	4 KiB
/data/base.pyd	16 KiB
/data/cassette.dae	209 KiB
/data/cassette.svg	28 KiB
/data/cdrom.pyd	20 KiB
/data/constants.pyd	15 KiB
/data/crunch1.ogg	13 KiB
/data/crunch2.ogg	13 KiB
/data/crunch3.ogg	12 KiB
/data/default.ttf	62 KiB
/data/display.pyd	33 KiB
/data/draw.pyd	34 KiB
/data/editor.svg	99 KiB
/data/event.pyd	25 KiB
/data/fastevent.pyd	12 KiB
/data/fiba1.ogg	18 KiB
/data/fiba2.ogg	18 KiB
/data/fiba3.ogg	18 KiB
/data/fiba4.ogg	16 KiB
/data/fiba5.ogg	18 KiB
/data/fiba6.ogg	18 KiB
/data/font.pyd	19 KiB
/data/ghmidimap.txt	5 KiB
/data/glow.svg	6 KiB
/data/icon.png	4 KiB
/data/image.pyd	23 KiB
/data/imageext.pyd	8 KiB
/data/in.ogg	31 KiB
/data/international.ttf	64 KiB
/data/joystick.pyd	18 KiB
/data/jurgen1.ogg	76 KiB
/data/jurgen2.ogg	58 KiB
/data/jurgen3.ogg	42 KiB
/data/jurgen4.ogg	64 KiB
/data/jurgen5.ogg	55 KiB
/data/key.dae	20 KiB
/data/key.pyd	10 KiB
/data/keyboard.svg	187 KiB
/data/label.dae	12 KiB
/data/left.svg	3 KiB
/data/library.dae	41 KiB
/data/library.zip	2 MiB
/data/library_label.dae	5 KiB
/data/loading.svg	20 KiB
/data/logo.svg	107 KiB
/data/menu.ogg	403 KiB
/data/mixer.pyd	30 KiB
/data/mixer_music.pyd	15 KiB
/data/mouse.pyd	13 KiB
/data/multiarray.pyd	26 KiB
/data/myhero.ogg	34 KiB
/data/neck.svg	12 KiB
/data/note.dae	46 KiB
/data/out.ogg	14 KiB
/data/overlay.pyd	9 KiB
/data/perfect1.ogg	31 KiB
/data/perfect2.ogg	27 KiB
/data/perfect3.ogg	32 KiB
/data/pose.svg	64 KiB
/data/pyexpat.pyd	132 KiB
/data/rect.pyd	26 KiB
/data/right.svg	3 KiB
/data/rwobject.pyd	11 KiB
/data/SDL.dll	284 KiB
/data/SDL_image.dll	229 KiB
/data/SDL_mixer.dll	408 KiB
/data/SDL_ttf.dll	396 KiB
/data/select.pyd	8 KiB
/data/sndarray.pyd	9 KiB
/data/stage.ini	4 KiB
/data/stage_audience1.svg	6 KiB
/data/stage_audience2.svg	4 KiB
/data/stage_background.svg	4 KiB
/data/stage_bassdrum.svg	30 KiB
/data/stage_drums.svg	28 KiB
/data/stage_light.svg	8 KiB
/data/stage_lights1.svg	14 KiB
/data/stage_lights2.svg	15 KiB
/data/stage_speakers.svg	13 KiB
/data/stage_speaker_cones.svg	8 KiB
/data/star1.svg	3 KiB
/data/star2.svg	5 KiB
/data/start.ogg	27 KiB
/data/surface.pyd	42 KiB
/data/surfarray.pyd	22 KiB
/data/surflock.pyd	7 KiB
/data/time.pyd	13 KiB
/data/title.ttf	105 KiB
/data/transform.pyd	24 KiB
/data/umath.pyd	51 KiB
/data/unicodedata.pyd	396 KiB
/data/vorbis.pyd	1 MiB
/data/zlib.pyd	64 KiB
/data/_amanith.pyd	2 MiB
/data/_dotblas.pyd	2 MiB
/data/_GLU__init__.pyd	96 KiB
/data/_GL__init__.pyd	268 KiB
/data/_imaging.pyd	308 KiB
/data/_multisample.pyd	40 KiB
/data/_numpy.pyd	67 KiB
/data/_ogg.pyd	26 KiB
/data/_psyco.pyd	238 KiB
/data/_socket.pyd	48 KiB
/data/translations/brazilian_portuguese.mo	15 KiB
/data/translations/french.mo	16 KiB
/data/translations/german.mo	15 KiB
/data/translations/hebrew.mo	4 KiB
/data/translations/polish.mo	13 KiB
/data/translations/russian.mo	18 KiB
/data/translations/spanish.mo	15 KiB
/data/translations/swedish.mo	15 KiB
/data/songs/Dragonforce - Through the Fire and Flames v2.rar	14 MiB
/data/songs/mother.rar	5 MiB
/data/songs/Readme.txt	480 B
/data/songs/songs.rar	11 MiB
/data/songs/ZZ Top - Shard Dressed Man/guitar.ogg	3 MiB
/data/songs/ZZ Top - Shard Dressed Man/notes.mid	33 KiB
/data/songs/ZZ Top - Shard Dressed Man/song.ini	276 B
/data/songs/ZZ Top - Shard Dressed Man/song.ogg	4 MiB
/data/songs/yyz/guitar.ogg	3 MiB
/data/songs/yyz/notes.mid	73 KiB
/data/songs/yyz/rhythm.ogg	4 MiB
/data/songs/yyz/song.ini	88 B
/data/songs/yyz/song.ogg	4 MiB
/data/songs/youreallygotme/guitar.ogg	2 MiB
/data/songs/youreallygotme/notes.mid	40 KiB
/data/songs/youreallygotme/rhythm.ogg	2 MiB
/data/songs/youreallygotme/song.ini	281 B
/data/songs/youreallygotme/song.ogg	2 MiB
/data/songs/yeswecan/guitar.ogg	3 MiB
/data/songs/yeswecan/notes.mid	78 KiB
/data/songs/yeswecan/rhythm.ogg	2 MiB
/data/songs/yeswecan/song.ini	105 B
/data/songs/yeswecan/song.ogg	3 MiB
/data/songs/xs"
