Title                                             Track  Duration  Year  Bitrate CBR
Losing A Friend                                      01  00:03:49  2005  320000  CBR  
Godspell                                             02  00:03:29  2005  320000  CBR  
Drip Drop Teardrop                                   03  00:03:22  2005  320000  CBR  
Overload                                             04  00:03:19  2005  320000  CBR  
I Need Some Fine Wine And You, You Need To Be Nicer  05  00:03:33  2005  320000  CBR  
Don't Blame Your Daughter (Diamonds)                 06  00:03:36  2005  320000  CBR  
Little Black Cloud                                   07  00:03:26  2005  320000  CBR  
In The Round                                         08  00:04:16  2005  320000  CBR  
Holy Love                                            09  00:04:07  2005  320000  CBR  
Good Morning Joan                                    10  00:03:36  2005  320000  CBR  
And Then You Kissed Me II                            11  00:03:57  2005  320000  CBR
