Bob Buchholz	 .... 	Paz (voice: English version) (as Robert Buchholz)

	Richard Epcar	.... 	Batou (voice: English version)
	Crispin Freeman	.... 	Togusa (voice: English version)
	William Knight	.... 	Daisuke Aramaki (voice: English version)
	Michael McCarty	.... 	Ishikawa (voice: English version)
	Mary Elizabeth McGlynn	.... 	Motoko Kusanagi (voice: English version)
	Yutaka Nakano	.... 	Ishikawa (voice)
	Toru Ôkawa	.... 	Saito (voice)
	Takashi Onozuka	.... 	Paz (voice)
	Akio Ôtsuka	.... 	Batou (voice)
	Osamu Saka	.... 	Chief Daisuke Aramaki (voice)
	Atsuko Tanaka	.... 	Major. Motoko Kusanagi (voice)
	Dean Wein	.... 	Boma (voice: English version)
	Dave Wittenberg	.... 	Saito (voice: English version)
	Kôichi Yamadera	.... 	Togusa (voice)
	Taro Yamaguchi	.... 	Borma (voice)
