

Artist				Title	
01. Johnny & The Hurricanes		Cross Fire	
02. Duane Eddy			Rebel Rouser	
03. Sandy Nelson			Teenbeat	
04. Johnny & The Hurricanes		Red River Rock	
05. Duane Eddy			40 Miles Of Bad Road	
06. Surfaris			Wipe Out	
07. Link Wray			Rumble	
08. Bill Justis			Raunchy	
09. Johnny & The Hurricanes		Rocking Goose	
10. Duane Eddy			Because They're Young	
11. B.Bumble & The Stingers		Nut Rocker	
12. Chantays			Pipeline	
13. Lonnie Mack			Memphis	
14. Sandy Nelson			Let There Be Drums	
15. Johnny & The Hurricanes		Reveille Rock	
16. Bill Black Combo		Don't Be Cruel	
17. King Curtis			Soul Twist	
18. Johnny & The Hurricanes		Revival	
19. Bill Doggett			Honky Tonk	
20. Johnny & The Hurricanes		Down Yonder	

Seasons Greetings...Peace & Goodwill - c7
