User Type,Username,Date,Text
,MightyMouse957,2007-08-05T04:00Z,"Great CD

Seeding for a week"
,emmastrid,2007-10-29T17:49Z,seed please  !
,nUDiE<3,2008-02-19T19:51Z,"Would love to have that bonus DVD that includes in this cd..
Tnx upR! :D"
,Unforgive-N,2008-04-12T22:04Z,Seed pleace!!  I want It so much!!!! :D
,vsartory,2008-10-14T20:11Z,"cheers bruv, cant wait to hear dat 4 bonus trax"
,wafflerevolution,2008-12-25T00:20Z,wonderful rip - thanks!
,morris730,2009-03-14T16:05Z,god dammit not for this one but for all the shit that makes my head spinn..im through with this life lets beginn the next one
,morris730,2009-03-14T16:07Z,i get errors all the time when i try seed why oh why....
,morris730,2009-03-14T16:09Z,lets get some porn instead if i can find something thats working....
,bHabicht,2009-09-03T02:51Z,"lmao. if you're looking for porn, why are you commenting on a stone sour file?

thanks for the upload! seeding forever."
,jalf09,2011-03-01T01:23Z,"When listening to this music, you'll get orgasm. That's why it's somehow related to pr0n. "
