This is 13. part of a collection of vinyl singles mainly from 80's and the early 90's. Collection will continue.

mp3; 160 kbs; 44100 sample rate.

Track list of Collection 100-13:


2 UNLIMITED	Twilight Zone-7" Vocal
ADAMSKI & JIMI POLO	Never Goin Down! -Incorporating Future Freak
ANEKA	Japanese Boy
ANEKA	Little Lady
BAD BOYS BLUE	You're A Woman
BARBARA	Tears In Your Eyes
BIG FUN	Blame It On The Boogie
BIZZ NIZZ	Don't Miss The Party Line-Incrowed Version
BLUE SYSTEM	History-Radio Version
BLUE SYSTEM	My Bed Is Too Big
BOBBY BROWN	Get Away - Single Edit With Rap
BOYZ II MAN	End Of The Road-Pop Edit
BREAK MACHINE	Street Dance-Vocal
CAMARO'S GANG	Ali Shuffle
CATHY DENNIS	You Lied To Me-Radio Rdit
CHIC	Your Love-Single Edit
THE CRYSTAL PALACE FEAT. C.P.	Son Of Godzilla-Tribal Chant Mix
DEE D. JACKSON	Talk Me Down
DIGITAL EMOTION	Get Up, Do You Wanna Funk-Part Two
DIVINE	Love Reaction
DONATELLA	Lailola'
DONNA SUMMER	Carry On
DRIZA BONE	Real Love (by Driza Bone)
EDDY HUNTINGTON	Meet My Frend
EDELWEISS	Raumschiff Edelweiss
ENIGMA	Sadeness - Part One Radio Edit
FANCY	Chinese Eyes
FLIM FLAM	Joint Mix
FREDDIE JACKSON	Crazy/For Me/-Radio Edit
GAZEBO	Lunatic
GIORGIO MORODER FEAT. PAUL ENGEMANN 	Reach Out
GRACE JONES	Slave To The Rhythm
HAZELL  DEAN	Maybe /We Should Call It A Day/
HEAVY D & THE BOYZ	Is It Good To You-7" Version
HITHOUSE	Jack To The Sound Of The Underground
INNOCENCE	Natural Thing
J.T COMPANY FEAT. GREG G	Don't Deal With-Club Edit
JAMTRONIK	Stand By Me-dance Mix
JANE CHILD	Don't Wanna Fall In Love-Remix Edit
JASON DONOVAN	Another Night
JOCELYN BROWN	Somebody Else's Guy
JOEY B. ELLIS & TYNETTA HARE	Go For It!/Heart And Fire/-LP Version
JOHN ROCCA	Want It To Be Real
KAOMA	Lambada
KATE YANAI	Bacardi Feeling/Summer Dreamin?/-Radio Version
KEN LAZLO	Glasses Man
KIM APPLEBY	Don't Worry
KIM APPLEBY	G.L.A.D.
KIRSTY SHAW	Yummy, Yummy, Yummy
KON KAN	I Beg Your Pardon
KRUSH	House Arrest
KYLIE MINOGUE	I Should Be So Lucky
L-VIRA	Talking' About Rambo
LATINO PARTY	Teguila-Original Mix
LEE CARSON	Baby Lou
LORETTA GOGGI	Maledetta Primavera
M.C. MIKER "G" & DEEJAY SVEN	Celebration Rap
MADONNA	La Isla Bonita-Remix
MAI TAI	Never, Never!-Radio Edit
MANTRONIX FEAT. WONDERSS	Got To Have Your Love-Radio Rdit
MARRS	Pump Up The Volume-Remix
MASTERBOY	Get Up Dance To The Beat-Radio Version
MC HAMMER	Addams Groove-Lp Version
MC SAR & THE REAL MCCOY FEAT. SUNDAY	Don't Stop-Single Mix
MIDGE URE	If I was
THE MIXMASTERS	Grand Piano
MODERN TALKING	In 100 Years...Part I
MODERN TALKING	Jet Airliner
MONTANA SEXTET FEAT. NADIYAH	Ride Like The Wind-Westside Radio Edit
MOSAIC III FEAT. ZION	Dance Now-Kickin' Radio Mix
MYSTERIOUS ART	Das Omen
NO CLUE	Live Is Life 91-Radio Version 91
OFF	Electrica Salsa/Baba Baba/
PATTO	Black & White
PAUL REIN	Stop/Give It Up/
RAFF	Self Control-Part 2
RAGGIO DI LUNA/MOON RAY/	Comanchero-Vocal
RICK ASTLEY	Never Gonna Give You Up
RIGHEIRA	Dinero Scratch
RUDY & CO	Mama Radio
SANDY MARTON	People From Ibiza-Edit Side A
SCRITTI POLITTI FEAT. SHABBA RANKS	She's A Woman
SINITTA	G.T.O.
SONIA	You'll Never Stop Me Loving You
STEVE "SILK" HURLEY	Jack Your Body
STEVIE WONDER	Part Time Lover
STOCK AITKEN WATERMAN	Packjammed/With The Party Posse/-Writ Mix
SWEET CONNECTION	Dirty Job
TATJANA	Chica Cubana
TAYLOR DAYNE	Tell It To My Heart
TECHNOTRONIC FEAT. REGGIE	Move That Body
THE TIME FREQUENCY	Real Love
TOM TOM CLUB	Genius Of Love
TRIO RIO	New York-Rio-Tokio /RadioEdit/
TWENTY 4 SEVEN	Are You Dreaming?-Radio Edit
TWENTY 4 SEVEN	I Can't Stand It-Radio Version
UNDERCOVER	Baker Street-Edit
VALDECI OLIVEIRA	Lambada-Move Your Body
WHY SHY	Jungle
YELLO	Jungle Bill
