User Type,Username,Date,Text
,bagofbeef,2005-08-14T21:19Z,"Can someone seed this bad boy?  I'm stuck at about 49%...

Thanks."
,bagofbeef,2005-08-14T21:19Z,"Oops.  Sorry about the triple-post, there....  :-/"
,bluelad,2006-02-08T12:36Z,"Oi! seed please! I'm stuck at 97,3 %!!

Cheers"
,bluelad,2006-02-09T06:54Z,"plz keep on seeding now! i have 3 % left!

cheers"
,thecuriouscouch,2006-05-08T01:38Z,HEY PLEASE SEED IVE GOT %2 TO GO
,wakest,2007-08-06T21:42Z,"Please seed this! Please, otherwise baby Jesus will cry!!!"
,Falleen_Fan_No_1,2008-04-16T17:11Z,"ugh, being stuck at 97% is gay....."
,jordack,2009-03-31T11:25Z,"stuck at 93%, please allow to seed by not deleting download once finished SEED! SEED!"
,jordack,2009-03-31T11:31Z,"dont be a stingebag, SEED!!
"
,jordack,2009-04-01T07:03Z,"fuck this torrent, ive got stuck at 97.3% twice, gay indeed!"
