



                                           &#368;&#368;&#368;&#368;&#368;&#368;
            &#368;  &#368;&#368;&#368;&#368;&#368;&#368;&#368;                      &#368;    &#368;&#368;&#368;
            &#368; &#368;      &#368;&#368;                     &#368;      &#368;&#368;&#368;
            &#368;&#368;        &#368;&#368;       &#368;&#368;&#368;&#368;&#368;&#368;&#368;&#368;     &#368;        &#368;&#368;     &#368;&#368;&#368;&#368;&#368;&#368;&#368;&#368;
            &#368;          &#368;&#368;     &#368;       &#368;&#368;    &#368;         &#368;    &#368;       &#368;&#368;
            &#368;           &#368;              &#368;    &#368;         &#368;&#368;            &#368;
            &#368;           &#368;       &#368;&#368;&#368;&#368;&#368;&#368; &#368;    &#368;          &#368;     &#368;&#368;&#368;&#368;&#368;&#368; &#368;
            &#368;           &#368;      &#368;&#368;    &#368;&#368;&#368;    &#368;          &#368;&#368;   &#368;&#368;    &#368;&#368;&#368;
            &#368;           &#368;      &#368;      &#368;&#368;    &#368;           &#368;   &#368;      &#368;&#368;
            &#368;           &#368;     &#368;&#368;       &#368;    &#368;           &#368;  &#368;&#368;       &#368;
            &#368;           &#368;     &#368;        &#368;    &#368;          &#368;&#368;  &#368;        &#368;
            &#368;           &#368;     &#368;&#368;       &#368;    &#368;          &#368;   &#368;&#368;       &#368;
            &#368;           &#368;      &#368;       &#368;    &#368;         &#368;&#368;    &#368;       &#368;
            &#368;           &#368;       &#368;&#368;    &#368;&#368;    &#368;      &#368;&#368;&#368;&#368;      &#368;&#368;    &#368;&#368;
            &#368;           &#368;        &#368;&#368;&#368;&#368;&#368;&#368;&#368;&#368;   &#368;   &#368;&#368;&#368;&#368;          &#368;&#368;&#368;&#368;&#368;&#368;&#368;&#368;
                        &#368;&#368;                 &#368;&#368;&#368;&#368;&#368;&#368;
                         &#368;&#368;&#368;&#368;
                                                        Est. 2000


          ÉÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍ»
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#351;              NaDA PROUDLY PRESENTS:                      &#351;
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#351;               ARTiST: The Offspring                      &#351;
          &#351;                ALBUM: The Offspring                      &#351;
          &#351;                LABEL: Nitro Record                       &#351;
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#351;               RiPPED: Apr-15-2002                        &#351;
          &#351;                GENRE: Rock                               &#351;
          &#351;                 YEAR: 1989                               &#351;
          &#351;               RiPPER: Omikron                            &#351;
          &#351;               SOURCE: CDDA                               &#351;
          &#351;              GRABBER: EAC 0.9b3                          &#351;
          &#351;              ENCODER: Lame 3.91                          &#351;
          &#351;              QUALITY: 192kkbps / 44,1kHz / Full Stereo   &#351;
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#351;                   ÚÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ&#380;                  &#351;
          &#268;ÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍ&#322;ÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍ&#322;ÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍ&#317;
                              &#322;                   &#322;
                              &#322;                   &#322;
                              &#322;                   &#322;
                              &#322;                   &#322;
          ÉÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍ&#322;ÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍ&#322;ÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍ»
          &#351;                   &#340;ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ&#366;                  &#351;
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#351;                  ..:: Track Listing ::..                 &#351;
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#351;    No. Title.                                  Time.     &#351;
          &#351;                                                          &#351;
          &#351;    01  jennifer lost the war                   02:35     &#351;
          &#351;    02  elders                                  02:11     &#351;
          &#351;    03  out on patrol                           02:32     &#351;
          &#351;    04  crossroads                              02:48     &#351;
          &#351;    05  demons                                  03:10     &#351;
          &#351;    06  beheaded                                02:52     &#351;
          &#351;    07  tehran                                  03:06     &#351;
          &#351;    08  a thousand days                         02:11     &#351;
          &#351;    09  blackball                               03:24     &#351;
          &#351;    10  i'll be waiting                         03:12     &#351;
          &#351;    11  kill the president                      03:22     &#351;
          &#351;                                                =====     &#351;
          &#351;                                                31:23 min &#351;
          &#351;                                                43,2 MB   &#351;
          &#351;                                                          &#351;
          &#351;                  ..:: Release Notes ::..                 &#351;
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#351;                                                          &#351;
          &#268;ÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍ&#317;
