Filename,Size,Unit
/Franklin Fibs; Franklin's Blanket.wmv,246.29,M
/Franklin and Otter's Visit; Franklin's Collection.wmv,246.08,M
/Franklin and the Baby; Franklin Goes to Day Camp.wmv,246.08,M
/Franklin and the Red Scooter; Franklin in the Dark.wmv,246.28,M
/Franklin in Two Places; Franklin's First Star.wmv,246.28,M
/Franklin the Teacher; Franklin's Allergy.wmv,246.3,M
/Franklin's Canoe Trip; Franklin's Interview.wmv,246.29,M
/Franklin's Christmas Gift; Franklin's Granny.wmv,246.29,M
/Franklin's Float; Franklin's Party Plans.wmv,246.15,M
/Franklin's Gloomy Day; Franklin Tells Time.wmv,246.27,M
/Franklin's Pumpkin; Franklin's Jug Band.wmv,246.29,M
/Franklin's School Play; Franklin and the Secret Club.wmv,246.27,M
/Franklin's Spring First; Franklin Plays Golf.wmv,246.31,M
/Franklin's Visitor; Franklin's Not-So-Broken Bone.wmv,246.3,M
/Gee Whiz Franklin; Franklin Can't Wait.wmv,246.32,M
