Filename,Size,Unit
"/Brickell, Edie; & New Bohemians - 01 - What I Am.mp3",8.51,M
"/Brickell, Edie; & New Bohemians - 02 - Little Miss S..mp3",6.43,M
"/Brickell, Edie; & New Bohemians - 03 - Air Of December.mp3",10.1,M
"/Brickell, Edie; & New Bohemians - 04 - The Wheel.mp3",6.73,M
"/Brickell, Edie; & New Bohemians - 05 - Love Like We Do.mp3",5.45,M
"/Brickell, Edie; & New Bohemians - 06 - Circle.mp3",5.29,M
"/Brickell, Edie; & New Bohemians - 07 - Beat The Time.mp3",5.4,M
"/Brickell, Edie; & New Bohemians - 08 - She.mp3",9.29,M
"/Brickell, Edie; & New Bohemians - 09 - Nothing.mp3",8.54,M
"/Brickell, Edie; & New Bohemians - 10 - Now.mp3",10.38,M
"/Brickell, Edie; & New Bohemians - 11 - Keep Coming Back.mp3",5.14,M
"/Brickell, Edie; & New Bohemians - 12 - I Do.mp3",3.13,M
