

             ÉÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍ»
               º  High.Octane.Detonate.DVDRIP.XviD-SOG º
               ÈÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍÍ¼

   STORE DATE  : 22.09.05
 RELEASE DATE  : 25.09.05
        GENRE  : Documentary/Action/Adventure/Comedy/Sport
      RUNTiME  : 94 minutes
      WEBSiTE  : http://www.highoctane.co.nz
         iMDB  : http://www.imdb.com/title/tt0472224

  ViDEO CODEC  : XviD 1.03
        AUDIO  : 192kbps CBR MP3
   RESOLUTiON  : 512x288
      # DiSCS  : 1
