House Story - History Of House Megamix - Chris Longley - Featured Tracks

Beat Dis				Bomb The Bass
Can U Dance 				Kenny `Jammin` Jason and `Fast` Eddie Smith
House Nation 				Housemaster Boyz and the Rude Boy of House
I`m Tired Of Getting Pushed Around 	Two Men, A Drum Machine And A Trumpet
Jack The Groove 			Raze
Jack Your Body 				Steve `Silk` Hurley
Let The Music Move U 			Raze
Love Can`t Turn Around 			Farley `Jackmaster` Funk Featuring Darryl Pandy
Pump Up The Volume 			MARRS
Put The Needle To The Record 		Criminal Element Orchestra
Rok Da House 				The Beatmasters Featuring The Cookie Crew
Theme From S` Express 			S Express
This Brutal House / Let`s Get Brutal 	Nitro Deluxe
You Used To Hold Me 			Ralphi Rosario Presents Xaviera Gold
