Filename,Size,Unit
/01 Shostakovich - Symphony 14 Op 135; 1.De profundis.flac,12.53,M
/02 Shostakovich - Symphony 14 Op 135; 2.Malaguena.flac,11.86,M
/03 Shostakovich - Symphony 14 Op 135; 3.La Lorley.flac,31.08,M
/04 Shostakovich - Symphony 14 Op 135; 4.Le Suicide.flac,20.6,M
/05 Shostakovich - Symphony 14 Op 135; 5.Les Attentives I.flac,10.7,M
/06 Shostakovich - Symphony 14 Op 135; 6.Les Attentives II.flac,5.65,M
/07 Shostakovich - Symphony 14 Op 135; 7.A la Sante.flac,26.33,M
/08 Shostakovich - Symphony 14 Op 135; 8.Reponse des Cosaques Zaporogues au Sultan de Canstantinople.flac,9.52,M
"/09 Shostakovich - Symphony 14 Op 135; 9.O Delvig, Delvig!.flac",14.98,M
/10 Shostakovich - Symphony 14 Op 135; 10.Der Tod des Dichters.flac,12.81,M
/11 Shostakovich - Symphony 14 Op 135; 11.SchluÃstuck.flac,4.15,M
