Filename,Size,Unit
/Dragspela/01 Balkanschottis.mp3,3.31,M
/Dragspela/02 Lyckovalsen.mp3,3.91,M
/Dragspela/03 Sir Duke.mp3,4.52,M
/Dragspela/04 SÃ¤ljakten.mp3,3.71,M
/Dragspela/05 I may be wrong.mp3,3.83,M
/Dragspela/06 Noveltyflickan.mp3,4.02,M
/Dragspela/07 Sultry serenad.mp3,7.39,M
/Dragspela/08 Blickus 3_an.mp3,3.21,M
/Dragspela/09 Mariannas vals.mp3,4.41,M
/Dragspela/10 Schottis av Jonas Olsson.mp3,3.87,M
/Dragspela/11 Vals frÃ¥n Brasilien.mp3,3.99,M
/Dragspela/12 Waltz for Debby.mp3,5.14,M
/Dragspela/13 I've found a new baby.mp3,5.13,M
/Dragspela/14 Nuages.mp3,8.07,M
/Dragspela/15 Ekorr-Anders vals.mp3,3.54,M
/Dragspela/16 Anna-Greta.mp3,4.59,M
