Studio One Soul 2
                        

    nr.   song title                                               length

    01    Jacob Miller - Westbound Train                            03:01
    02    Hortense Ellis - People Make The World Go Round           03:17
    03    Horace Andy - Ain't No Sunshine                           01:55
    04    Soul Vendors - Swing Easy                                 03:02
    05    The Heptones - Choice Of Colours                          02:57
    06    Jackie Mittoo & The Brentford Disco Set - Choice Of Music 03:10
    07    Prince Jazzbo - Fool For Love                             03:16
    08    Cornell Campbell - Ten To One                             04:52
    09    Winston Francis - Don't Change                            02:34
    10    Jackie Mittoo - Jumping Jehosophat                        03:22
    11    Tony Gregory - Get Out Of My Life Women                   02:19
    12    Dub Specialist - Darker Block                             02:49
    13    Little Joe - Red Robe                                     03:28
    14    Devon Russell - Make Me Believe In You                    02:19
    15    Jerry Jones - Compared To What                            04:09
    16    Ken Boothe - Thinking                                     03:11
    17    Anthony Carey - Land Call Africa                          02:59
    18    Jackie Mittoo - Fancy Pants                               03:38
