File name	Bitrate	Hz
Boney M - Daddy Cool.mp3	128	44100
Boney M - Disco Megamix 2000.MP3	128	44100
Boney M - Gotta Go Home (Club Mix).mp3	160	44100
Boney M - Gotta Go Home.mp3	128	44100
Boney M - Happy Song.mp3	128	44100
Boney M - Ma Baker.mp3	128	44100
Boney M - Mega Mix.mp3	128	44100
Boney M - Night Flight To Venus.mp3	192	44100
Boney M - One Way Ticket (Remix).mp3	128	44100
Boney M - One Way Ticket.mp3	192	44100
Boney M - Rasputin.mp3	128	44100
Boney M - Rivers Of Babylon.mp3	128	44100
Boney M - Sunny.mp3	128	44100
Boney M Feat. Sash - Ma Baker.mp3	128	44100
Boney M Vs Sash - Ma Baker.mp3	128	44100
Boney M. - Daddy Cool 99.mp3	128	44100
Boney M. Vs Milc Inc. - Rivers Of Babylon (Radio Edit).MP3	128	44100
Bonney M - Disco Mega Mix.MP3	128	44100
Boney M - Belfast.mp3	128	44100
- Ney M-Disco Medley.mp3	128	44100

:: That's just Co0L
