#    t r a c k  n a m e                         t i m e

01-  Work that                                  [03:31]
02-  Grown Woman Feat Ludacris                  [04:05]
03-  Just Fine                                  [04:02]
04-  Feel Like A Woman                          [04:02]
05-  Stay Down                                  [04:23]
06-  Hurt Again                                 [04:08]
07-  Shake Down Feat Usher                      [03:36]
08-  Till the Morning                           [04:18]
09-  Roses                                      [04:36]
10-  Fade Away                                  [04:16]
11-  What Love is                               [04:03]
12-  Work in Progress (Growing Pains)           [04:01]
13-  Talk to Me                                 [04:10]
14-  If You Love Me                             [03:40]
15-  Smoke                                      [03:10]
16-  Come to Me (Peace)                         [05:02]

      88,4 m e g s                   t o t a l  [65:03]
