User Type,Username,Date,Text
,Lolli,2005-01-22T19:35Z,"Man behöver inte vara typograf för att bli glansig i ögonen, när man ser detta. :-) 
Tackar så himla mycket."
,riprock,2005-02-11T20:36Z,as good as it gets :)
,BurnHouse,2005-03-25T21:45Z,pleeeeaasse seed this! it's a beautiful thing!
,thy,2005-03-30T13:21Z,Holy Crap :yikes: this is just what I needed... thanks a bunch....
,Sykil,2005-04-04T00:00Z,"Seed, please. :)"
,snomis79,2005-04-15T13:48Z,Please seed!!! Thank you!
,orco,2005-05-06T13:23Z,Kostar 10335 Euro på Linotypes hemsida.... :-)
,manterr,2005-05-17T17:26Z,"kanon.. nån som har ""Linotype ITC Library"" också?"
,magic99,2005-06-15T02:11Z,"This is a great torrent release, I wonder if anyone who reads this has the TakeType library??"
,Vaiden,2005-06-27T13:11Z,Tack för en riktigt bra torrent!
,rmendias,2005-06-29T06:21Z,The WinRAR seems to be corrupt. Actual data doesn't extract properly.
,stinus,2005-07-07T21:43Z,"Please reseed, thank you very much:-)"
,nygrenbjorn,2006-03-09T19:02Z,Och hur gör man om man vill installera lite snabbt då..?   Man vill ju liksom inte gå igenom varje mapp och kopiera...
,ROBOVIGILANTE,2006-04-04T06:02Z,Great fuckin' download! There's Over $1000 U.S. dollars worth of fonts! Thank you so much! 
,sribben,2006-04-24T18:14Z,Jag säger bara: TACK!!!!!
,doucrix,2006-04-27T00:53Z,where can i find the Lucida Grande font? any good collections like this one here for torrent? would be great to complete this torrent with the Lucida Family Pack or something like that as well :) happy torrenting.
,RoYalPIMP,2006-05-01T19:38Z,"Damn nice...thanx alot.
now a little seed , plz"
,kilbane980,2006-06-22T14:49Z,"When i try to install these fonts i get error message about some copyright issue. I only manager to get two fonts ""Aachen"". 
So this won't work without extensis suitcase? 
Also do all fonts need to be installed individually? That's just painful man. "
,playon,2006-07-04T02:04Z,"great torrent U must use extensis suitcase to use fonts or else all hell breaks loose. All the classics cost $2000+ in australia, love ya work"
,SAnsX,2007-01-08T21:02Z,"Just What I always wanted!!! took a copy from work once, but I lost it, now if someone would just put up atm or suitcase for windows..... Love!"
,Bumdark,2007-06-20T04:08Z,"Fucking brilliant! This is a true goldmine, a motherlode of fonts!!!!!!!

And to think, I used to be a sucker and bought several with cash... jeez. What was I on?

Thanks Smacky! Owe ya big time!"
,ENi,2007-06-28T10:59Z,"här kan man se hur typsnitten ser ut innan man installerar dem (att installera alla är ingen bra idé, många installerade laggar ner datorn, jag vet)
http://www.linotype.com/86622/goldedition171dvdformacandpc-compilation.html"
,daniwaki,2008-08-02T21:28Z,"S U P E R B ! A font hunter's dream...
Thanks"
,nEOSPa,2008-11-04T21:43Z,FANTASTIC! This is the best torrent ever... :)
,andrewmyles,2012-08-11T14:04Z,OH FUCK. Rars? Really? 
