Û²  Track  Title                                              Time
  Û²
  Û²  01.    backseat of your cadillac (new dance mix)          03:32
  Û²  02.    like a hurricane (new dance mix)                   03:17
  Û²  03.    shake your head 2003                               03:31
  Û²  04.    anniversary mega mix                               03:50
  Û²  05.    i can lose my heart tinight                        03:51
  Û²  06.    strangers by night                                 03:40
  Û²  07.    cause you are young                                03:30
  Û²  08.    are you man enough (long version muscie mix)       06:06
  Û²  09.    nothing but a heartache (long version)             05:07
  Û²  10.    soul survivor                                      03:17
  Û²  11.    heartbreak hotel                                   03:36
  Û²  12.    heaven and hell                                    03:39
  Û²  13.    summer kisses                                      03:50
  Û²  14.    house of mystic light (long dance mix version)     04:10
  Û²  15.    big time                                           03:47
  Û²  16.    midnight hour                                      03:56
  Û²  17.    baby i need your love (long version)               04:46
  Û²  18.    anniversary mega mix (12½ inch version)            08:03
  ÛÛÜ                                                              Ü
