Så funkar det var ett humorprogram med Anders Johansson och Måns Nilsson som sändes i Sveriges Radio P3 mellan juni 2001 och december 2003. Grundidén var att lyssnarna fick ringa in och ställa frågor som Anders och Måns sedan försökte svara på genom att ringa upp personer som på något sätt var kopplade till fenomenet. När de till exempel fick en fråga om Corioliskraften påverkar utflödet ur ett handfat ringde de till en polisstation på ekvatorn och fick svaret att vattnet roterade "åt vänster".
 
http://www.sr.se/p3/funkar/


namn	 	tid		bithastighet	sampl.frekv.	storlek
2002-01-11	1.05.13		160		44100		74.7
2002-05-10	1.05.11		160		44100		74.6
2002-11-15	1.01.53		160		44100		70.9
2002-11-22	1.11.33		160		44100		81.9
2002-12-10	0.59.46		160		44100		68.4
2002-18-10	1.03.15		160		44100		72.4
2002-25-10	0.57.40		160		44100		66.0
2002-27-09	0.40.30		160		44100		46.4
2003-05-16	0.36.58 	160		44100		42.4
2003-08-29	0.40.20		160		44100		46.2
2003-10-05	0.36.59		160		44100		42.4
2003-11-07	0.35.49		160		44100		41.0
2003-11-14	0.34.32		56		22050		13.9
2003-12-19	0.41.25		112		44100		33.2
2003-12-26	1.40.22		112		44100		80.4
