CD1

  01. Time To Waste                                  [04:12]
  02. The Poison                                    [02:05]
  03. Burn                                          [04:05]
  04. Mercy Me                                      [02:50]
  05. Dethbed                                        [03:04]
  06. Settle For Satin                              [03:49]
  07. Sadie                                          [04:40]
  08. Fall Victim                                    [03:18]
  09. I Was A Prayer                                [02:37]
  10. Prevent This Tragedy                          [03:07]
  11. Back To Hell                                  [02:54]
  12. Your Neck                                      [03:16]
  13. Smoke                                          [02:59]

      CD2

  01. Time To Waste (Demo)                          [03:25]
  02. The Poison (Demo)                              [01:40]
  03. Burn (Matt's Home Demo)                        [02:58]
  04. Mercy Me (Acoustic)                            [03:13]
  05. Dethbed (Demo)                                [02:57]
  06. Settle For Satin (Demo)                        [03:32]
  07. Sadie (Acoustic)                              [03:20]
  08. Fall Victim (Demo)                            [03:04]
  09. I Was A Prayer (Acoustic)                      [02:55]
  10. Prevent This Tragedy (Demo)                    [03:41]
  11. Back To Hell (Matt's Home Demo)                [02:57]
  12. Your Neck (Demo)                              [03:15]
  13. Smoke (Demo)                                  [03:08]
  14. Time To Waste (Acoustic)                      [04:21]
