Title                Track  Duration  Year  Bitrate CBR/VBR  
Communication           01  00:04:28  2003  320000  CBR  
You're The Storm        02  00:03:53  2003  320000  CBR  
A Good Horse            03  00:03:17  2003  320000  CBR  
And Then You Kissed Me  04  00:06:03  2003  320000  CBR  
Couldn't Care Less      05  00:05:32  2003  320000  CBR  
Please Sister           06  00:04:37  2003  320000  CBR  
For What It's Worth     07  00:04:18  2003  320000  CBR  
Lead Me Into The Night  08  00:04:32  2003  320000  CBR  
Live And Learn          09  00:04:16  2003  320000  CBR  
Feathers And Down       10  00:04:30  2003  320000  CBR  
03.45: No Sleep         11  00:03:45  2003  320000  CBR
