DISC/TRACK	ARTIST	SONG
ZMLP004-14	4 Non Blondes	What's Up
ZMLP002-02	Abba	Dancing Queen
ZMLP007-05	Abba	Take A Chance On Me
ZMLP002-16	Abba	Waterloo
ZMLP007-18	Ace	How Long
ZML09-09	Ace Of Base	All That She Wants
ZMLP004-01	Alanis Morissette	Ironic
ZMLP002-10	Alannah Myles	Black Velvet
ZML09-10	All For One	I Swear
ZMLP004-15	All Saints	Pure Shores
ZMLP004-10	Anastacia	I'm Outta Love
ZMLP007-12	Andy Kim	Rock Me Gently
ZMLP006-25	Archies	Sugar Sugar
ZMLP010-14	Atomic Kitten	Tide Is High
ZMLP003-16	Atomic Kitten	Whole Again
ZMLP010-16	Avril Lavigne	Complicated
ZMLP007-06	Bachman Turner Overdrive	You Ain't Seen Nothing Yet
ZMLP008-06	Bananarama	Venus
ZMLP008-16	Bangles	Walk Like An Egyptian
ZMLP007-08	Barry White	You're The First, The Last, My Everything
ZMLP006-01	Beatles	Help
ZMLP006-21	Beatles	Ticket To Ride
ZMLP001-14	Beatles	Twist And Shout
ZMLP007-04	Bee Gees	Night Fever
ZMLP002-04	Bette Midler	Rose
ZMLP002-03	Bette Midler	Wind Beneath My Wings
ZMLP002-11	Billie Jo Spears	Blanket On The Ground
ZMLP008-08	Billy Joel	Uptown Girl
ZMLP001-04	Billy Ray Cyrus	Achy Breaky Heart
ZMLP008-03	Blondie	Heart Of Glass
ZMLP005-16	Bobby Darin	Mack The Knife
ZMLP006-09	Bobby Vee	Night Has A Thousand Eyes
ZMLP004-04	Britney Spears	Baby One More Time
ZMLP004-05	Britney Spears	Born To Make You Happy
ZMLP001-10	Bryan Adams	I Do It For You
ZMLP001-20	Bryan Adams	Summer Of 69
ZMLP010-10	Busted	You Said No
ZMLP006-02	Byrds	Mr. Tambourine Man
ZMLP007-13	Carpenters	Close To You
ZML09-05	Celine Dion	My Heart Will Go On
ZMLP010-11	Cheeky Girls	Take Your Shoes Off
ZML09-04	Cher	Believe
ZMLP002-07	Cher	If I Could Turn Back Time
ZMLP002-05	Cher	Shoop Shoop Song
ZMLP007-20	Chicago	If You Leave Me Now
ZMLP005-14	Chris Deburgh	Lady In Red
ZMLP004-16	Christina Aguilera	Genie In A Bottle
ZMLP004-11	Christina, Pink, Mya Aguilera	Lady Marmalade
ZMLP001-11	Commitments	Mustang Sally
ZMLP007-17	Commodores	Three Times A Lady
ZMLP003-05	Corrs	Breathless
ZMLP008-09	Culture Club	Karma Chameleon
ZMLP008-10	David Bowie	Let Dance
ZMLP001-13	Del Shannon	Runaway
ZMLP008-04	Dexy Midnight Runners	Come On Eileen
ZMLP008-01	Diana Ross	Upside Down
ZMLP003-12	Dido	Thank You
ZMLP010-01	Dido	White Flag
ZMLP001-16	Dire Straits	Walk Of Life
ZMLP001-03	Don McLean	American Pie
