Artist: Dropkick Murphys
Gig:	Lowlands Festival (NL)
Year:   2005

NR	TITEL							DUUR
--  ------------------------------------------------------	-----
1   Boys On The Docks						 2:24
2   The Walking Dead						 2:03
3   Sunshine Highway						 3:19
4   Citizen CIA							 1:24
5   The Wild Rover						 3:28
6   Heroes from Our Past					 3:26
7   Forever							 3:54
8   Last Letter Home						 3:59
9   It's A Long Way To The Top (If You Wanna Rock 'n Roll)	 3:33
10  Barroom Hero						 3:03
11  Amazing Grace						 2:31
12  The Burden							 2:55
13  Captain Kelly's Kitchen					 2:41
14  The Auld Triangle						 2:41
15  The Warrior's Code						 2:21
16  The Dirty Glass						 3:28
17  The Spicy McHaggis Jig					 4:04
--  ------------------------------------------------------	-----
							TOTAL   51:14
