DISC/TRACK	ARTIST	SONG
TU051-01	Beatles	Hard Day's Night
TU051-02	Beatles	Across The Universe
TU051-03	Beatles	All My Loving
TU051-04	Beatles	All You Need Is Love
TU051-05	Beatles	And I Love Her
TU051-06	Beatles	Back In The U.S.S.R.
TU051-07	Beatles	Can't Buy Me Love
TU051-08	Beatles	Come Together
TU051-09	Beatles	Day Tripper
TU051-10	Beatles	Do You Want To Know A Secret
TU051-11	Beatles	Drive My Car
TU051-12	Beatles	Eight Days A Week
TU051-13	Beatles	Eleanor Rigby
TU051-14	Beatles	Fool On The Hill
TU051-15	Beatles	Get Back
TU051-16	Beatles	Help!
TU051-17	Beatles	Hey Jude
TU051-18	Beatles	I Feel Fine
TU051-19	Beatles	I Saw Her Standing There
TU051-20	Beatles	I Want To Hold Your Hand
TU051-21	Beatles	Lady Madonna
TU051-22	Beatles	Let It Be
TU052-01	Beatles	Long And Winding Road
TU052-02	Beatles	Love Me Do
TU052-03	Beatles	Lucy In The Sky With Diamonds
TU052-04	Beatles	Maxwell's Silver Hammer
TU052-05	Beatles	Michelle
TU052-06	Beatles	Norwegian Wood
TU052-07	Beatles	Nowhere Man
TU052-08	Beatles	Obla-Di Obla-Da
TU052-09	Beatles	Paperback Writer
TU052-10	Beatles	Penny Lane
TU052-11	Beatles	Please Please Me
TU052-12	Beatles	Sgt Pepper's Lonely Hearts Club Band
TU052-13	Beatles	She Loves You
TU052-14	Beatles	Something (In The Way She Moves)
TU052-16	Beatles	Ticket To Ride
TU052-17	Beatles	Till There Was You
TU052-18	Beatles	Twist And Shout
TU052-19	Beatles	We Can Work It Out
TU052-20	Beatles	When I'm Sixty Four
TU052-21	Beatles	With A Little Help From My Friends
TU052-22	Beatles	Yellow Submarine
TU052-23	Beatles	Yesterday
TU053-01	C C R	Bad Moon Rising
TU053-02	C C R	Born On The Bayou
TU053-03	C C R	Down On The Corner
TU053-04	C C R	Fortunate Sun
TU053-05	C C R	Green River
TU053-06	C C R	Have You Ever Seen The Rain
TU053-07	C C R	Hey Tonight
TU053-08	C C R	I Put A Spell On You
TU053-09	C C R	Lodi
TU053-10	C C R	Long As I Can See
TU053-11	C C R	Lookin' Out My Back Door
TU053-12	C C R	Midnight Special
TU053-13	C C R	Proud Mary
TU053-14	C C R	Run Trough The Jungle
TU053-15	C C R	Susie Q
TU053-16	C C R	Travelin' Band
TU053-17	C C R	Up Around The Bend
TU053-18	C C R	Who'll Stop The Rain
TU053-19	C C R (Wvocals)	Long As I Can See
TU053-20	C C R (Wvocals)	Midnight Special
TU053-21	C C R (Wvocals)	Run Trough The Jungle
TU053-22	C C R (Wvocals)	Who'll Stop The Rain
TU054-01	John Secada	Angel
TU054-02	Celine Dion	Immortality
TU054-03	John Secada	Just Another Day
TU054-04	Celine Dion	Love Doesn't Ask Why
TU054-05	John Secada	Love's About To Change My Mind
TU054-06	Enya	Marble Halls
TU054-07	Bon Jovi	One Wild Night
TU054-08	Enya	Orinoco Flow
TU054-09	Stevie Nicks	Planets Of The Universe
TU054-10	Barenaked Ladies	Sell Sell Sell
TU054-11	Richard Marx	Shine
TU054-12	John Secada	Stop
TU054-13	Richard Marx	Straight From My Heart
TU054-14	Bee Gees	This Is Where I Came In
TU054-15	Celine Dion	To Love You More
TU054-16	Celine Dion	Us
TU054-17	Bee Gees	Wedding Day
TU055-01	Billy Ray Cyrus	Achy Breaky Heart
TU055-02	Shania Twain	Any Man Of Mine
TU055-03	Brooks & Dunn	Boot Scootin' Boogie
TU055-04	Casper (Wvocal)	Cha Cha Slide Part 2
TU055-05	Standard	Chicken Dance
TU055-06	Standard (Wvocal)	Chicken Dance
TU055-07	Queen	Crazy Little Thing Called Love
TU055-08	E U	Da Butt
TU055-09	Bob & Earl (Wvocal)	Harlem Shuffle
TU055-10	Ray Anthony Orchestra (Wvocal)	Hokey Pokey
TU055-11	Brian Setzer	Jump Jive And Wail
TU055-12	Brian Setzer (Wvocal)	Jump Jive And Wail
TU055-13	Chubby Checker (Wvocal)	Limbo Rock
TU055-14	Little Eva	Locomotion
TU055-16	Isley Brothers (Wvocal)	Shout
TU055-17	Clarence Carter	Strokin'
TU055-18	Marcia Griffith (Wvocal)	Electric Slide
TU055-20	Village People (Wvocal)	Y M C A
TU055-21	Cherry Poppin' Daddies	Zoo Suit Riot
