All MP3 128kbps + Front Cover

NR: TITLE:                  LENGTH:
01: Hvor Er De Henne?       (03:51)
02: Pop Det Du Har          (04:11)
03: Snakker Ikk' Med Nogen  (03:27)
04: Hvem                    (04:42)
05: Inkarneret              (03:47)
06: Hva' Så Homie           (03:41)
07: Gi' Den Gas             (03:49)
08: Firser Nitter           (03:21)
09: De Bitches              (03:48)
10: Undskyld                (05:04)
11: V.I.P. II               (02:57)
12: Engang Var Vi Små       (04:02)
13: Hold Dig Til Din        (03:54)
14: Horn Eller Vinger       (03:53)
15: Fremme i skoene         (19:17) Bonus track in the end of song
                   Total: (1:13:49) / 67,48MB
