GitarÃ??? i PiÃ??Ã?Â³rem
MPEG-1 layer 3
256kbit
44100Hz Joint Stereo

Artist	Title
Lidia Jazgar	Slowa (zaklecia)
Grzegorz Turnau i Beata Ryboty	Takiej drugiej nocy - Kto chce
Ostatnia wieczerza w karczmie	Pali sie fajka nocy
Miroslaw Czyzykiewicz	Jednym szeptem
Grzegorz Tomczak	Klamka zapadla
Przemyslaw Gintrowski	Odpowiedz
Leszek Wojtowicz	Jak trawa
Sklep z ptasimi piorami	Ochron nas Boze
Elzbieta Adamiak	Bez slow (chodza ulicami ludzi
Piotr Baltroczyk	Male miasteczka
Agnieszka Chrzanowska	W pewnym momencie
Piotr Bukartyk	List do siebie
Tomasz Wachnowski	Bo jak cie mam zapomniec (Rond
Igor Jaszczuk i Lubelska Feder	Nie musisz mnie kochac
Milka Malzahn	Szepty
Tomasz Olszewski	Przesiadka
Antonina Krzyszton 	Zycie jest listem
Andrzej Garczarek	Piromani
Waclaw Juszczyszyn	Sielanka o domu
Grupa Niebo (Czerwony Tulipan)	A jednak po nas cos zostanie
