User Type,Username,Date,Text
,kngpry,2008-08-08T23:14Z,was that you that hit me on skype?
,Razmastr,2010-02-26T01:18Z,"ANOTHER SPECIAL FROM SUNBLOCK

Antivirus 	Version 	Last Update 	Result
AhnLab-V3 	- 	- 	-
AntiVir 	- 	- 	-
Authentium 	- 	- 	-
Avast 	- 	- 	-
AVG 	- 	- 	Potentially harmful program HackTool.crack
BitDefender 	- 	- 	-
CAT-QuickHeal 	- 	- 	(Suspicious) - DNAScan
ClamAV 	- 	- 	-
DrWeb 	- 	- 	-
eSafe 	- 	- 	Suspicious Trojan/Worm
eTrust-Vet 	- 	- 	-
Ewido 	- 	- 	-
F-Prot 	- 	- 	-
F-Secure 	- 	- 	-
FileAdvisor 	- 	- 	-
Fortinet 	- 	- 	-
Ikarus 	- 	- 	Trojan-Downloader.Win32.Zlob.and
Kaspersky 	- 	- 	-
McAfee 	- 	- 	New Malware.aj
Microsoft 	- 	- 	-
NOD32v2 	- 	- 	-
Norman 	- 	- 	-
Panda 	- 	- 	-
Prevx1 	- 	- 	Generic.Malware
Rising 	- 	- 	-
SAVMail 	- 	- 	-
Sophos 	- 	- 	Mal/Packer
Sunbelt 	- 	- 	VIPRE.Suspicious
Symantec 	- 	- 	-
TheHacker 	- 	- 	-
VBA32 	- 	- 	-
VirusBuster 	- 	- 	-
Webwasher-Gateway 	- 	- 	Win32.Malware.gen (suspicious)"
