T R A C K L I S T                           
                                                                                         
            NR. TRACK                                           TIME              
            01  Intro                                           00:21
            02  Crazy Ken Band - Tiger & Dragon                 02:41
            03  Nanjaman - Boxing                               02:24
            04  Syndicate Girls - Non Fiction                   01:19
            05  Junior Dee - Run De Corner                      01:24
            06  Junior Dee - Batsudan                           03:02
            07  Rudebwoy Face & Joey Boy - Summer Time          02:08
            08  Bamiuda - Wassyoi 2004 Getsumen Chuugaeri       02:36
            09  Fu-rinkazan & Bamiuda - Ondo Man                02:42
            10  Los Kalibres - Pega                             02:10
            11  Los Kalibres - Dekasege                         01:38
            12  Crazy Ken & Yo-Hey Japaonese - Almond Eyes      02:28
            13  South Crew feat. F.U.T.O - Rival                03:03
            14  Munehiro feat. El Nando - Mi Pasion             02:39
            15  Romero Sp - Material Jungle                     02:03
            16  Romero Sp - Tsuritenjyou                        02:47
            17  Romero Sp - Sanmaiwa                            03:21
            18  Brier feat. Rudebwoy Face . El Nando - Mic      02:12
                Relay
            19  Kazema - Who-ma The Fxxker                      03:45
            20  F.U.T.O - Wind of Asia                          02:15
            21  F.U.T.O - 110%                                  02:27
            22  Munehiro - Hana                                 03:28
            23  Syndicate Girls - Brand New Day                 02:30
            24  Nanjaman - Born Japanes                         04:06
            25  Outro                                           00:31     

