Track	Title							Duration

01 	Barry Louis Polisar: \"All I Want Is You\"		2:37
02 	Kimya Dawson: \"Rollercoaster (Juno Film Version)\"	0:53
03 	The Kinks: \"A Well Respected Man\"			2:41	
04 	Buddy Holly: \"Dearest\"					1:53
05 	Mateo Messina: \"Up the Spout\"				0:53
06 	Kimya Dawson: \"Tire Swing\"				3:07
07 	Belle & Sebastian: \"Piazza, New York Catcher\"		3:01
08 	Kimya Dawson: \"Loose Lips\"				2:24
09 	Sonic Youth: \"Superstar\"				4:06
10 	Kimya Dawson: \"Sleep (Instrumental)\"			0:52		
11 	Belle & Sebastian: \"Expectations\"			3:35
12 	Mott the Hoople: \"All the Young Dudes\"			3:35
13 	Kimya Dawson: \"So Nice So Smart\"			2:47	
14 	Cat Power: \"Sea of Love\"				2:20
15 	Kimya Dawson and Antsy Pants: \"Tree Hugger\"		3:14
16 	Velvet Underground: \"I\'m Sticking With You\"		2:29
17 	The Moldy Peaches: \"Anyone Else but You\"		2:58
18 	Antsy Pants: \"Vampire\"					1:20
19 	Ellen Page and Michael Cera: \"Anyone Else but You\"	1:56


