CD1

         01. 01. Intro                                                [00:31]
         02. 02. Last Man Standing                                    [06:11]
         03. 03. You Give Love A Bad Name                             [04:15]
         04. 04. Complicated                                          [03:39]
         05. 05. Born To Be My Baby                                   [05:08]
         06. 06. Story Of My Life                                     [04:09]
         07. 07. I'll Sleep When I'm Dead                             [05:49]
         08. 08. Jon's Timewarp                                       [01:16]
         09. 09. Runaway                                              [05:15]
         10. 10. Bounce                                               [03:25]
         11. 11. Novocaine                                            [05:47]
         12. 12. I Won't Back Down                                    [01:22]
         13. 13. Have A Nice Day                                      [04:37]
         14. 14. Who Says You Can't Go Home                           [06:57]
         15. 15. It's My Life                                         [04:08]

             CD2

         01. 01. Richie's Apology                                     [00:43]
         02. 02. I'll Be There For You (acoustic)                     [06:21]
         03. 03. Blaze Of Glory (acoustic)                            [08:27]
         04. 04. Bed Of Roses (acoustic)                              [05:59]
         05. 05. Captain Crash & The Beauty Queen From Mars           [05:46]
         06. 06. Bad Medicine                                         [07:10]
         07. 07. Raise Your Hands                                     [05:02]
         08. 08. Livin' On A Prayer                                   [09:41]
         09. 09. Welcome To Wherever You Are                          [04:04]
         10. 10. Everyday                                             [03:01]
         11. 11. Treat Her Right                                      [04:27]
         12. 12. Blood On Blood                                       [06:24]
         13. 13. Wanted Dead Or Alive                                 [05:44]
         14. 14. Run Rudolph Run                                      [03:56]
