TRACK  LiSTiNG 
                                                                       `
               01.Introduction                            00:26
               02.Os Justi                                01:50
               03.Juravit Dominus                         05:00
               04.Beata Agnes                             01:32
               05.Amo Christum                            01:51
               06.Stans Beata Agnes                       04:26
               07.Confessio Graduale                      02:11
               08.Confessio                               03:03
               09.Oratio Mea                              01:26
               10.Qui Mihi Ministrat                      01:56
               11.In Martyris Laurentii                   01:11
               12.Laurentius                              02:44
               13.Beatus Laurentius                       01:59
               14.Stola Jucundatis                        02:38
               15.Etenim                                  01:31
               16.Sederunt Principes                      01:14
               17.Video                                   03:04
               18.In Virtute Tua                          01:48
               19.Festum Celebre                          03:09
               20.Beneedicite Dominum                     02:31
               21.Laudate Deum                            02:00
               22.Stetit Angelus                          04:39
               23.Benedicte                               05:54
               24.Sanctus Alleluia                        02:38
                                                          -----
