Album	      Year	Title	Bitrate	Length

  Dirty Hits	2003	Loaded	192	04:35
  Dirty Hits	2003	Movin\' On Up	192	03:45
  Dirty Hits	2003	Come Together	192	04:54
  Dirty Hits	2003	Higher Than The Sun	192	03:37
  Dirty Hits	2003	Rocks	192	03:35
  Dirty Hits	2003	Jailbird	192	03:36
  Dirty Hits	2003	Cry Myself Blind	192	04:27
  Dirty Hits	2003	Burning Wheel	192	04:35
  Dirty Hits	2003	Kowalski	192	04:31
  Dirty Hits	2003	Long Life	192	03:49
  Dirty Hits	2003	Swastika Eyes	192	03:52
  Dirty Hits	2003	Kill All Hippies	192	04:08
  Dirty Hits	2003	Accelerator	192	03:39
  Dirty Hits	2003	Shoot Speed / Kill Light	192	05:16
  Dirty Hits	2003	Miss Lucifer	192	02:29
  Dirty Hits	2003	Deep Hit At Morning Sun	192	03:45
  Dirty Hits	2003	Some Velvet Morning	192	03:51
  Dirty Hits	2003	Autobahn 66	192	06:16
  Riot City Blues	2006	Country Girl	243	04:33
  Riot City Blues	2006	Nitty Gritty	223	03:40
  Riot City Blues	2006	Suicide Sally & Johnny Guitar	206	03:16
  Riot City Blues	2006	When The Bomb Drops	194	04:37
  Riot City Blues	2006	Little Death	179	06:24
  Riot City Blues	2006	The 99th Floor	211	03:52
  Riot City Blues	2006	We\'re Gonna Boogie	195	02:54
  Riot City Blues	2006	Dolls (Sweet Rock And Roll)	214	04:00
  Riot City Blues	2006	Hell\'s Comin\' Down	208	03:29
  Riot City Blues	2006	Sometimes I Feel So Lonely	189	05:07
  Riot City Blues	2006	Stone Ya To The Bone	220	02:38
  Riot City Blues	2006	To Live Is To Fly	189	03:42
  Screamadelica	1991	Movin\' On Up	233	03:51
  Screamadelica	1991	Slip Inside This House	248	05:17
  Screamadelica	1991	Don\'t Fight It, Feel It	253	06:54
  Screamadelica	1991	Higher Than The Sun	249	03:38
  Screamadelica	1991	Inner Flight	227	05:02
  Screamadelica	1991	Come Together	241	10:22
  Screamadelica	1991	Loaded	250	07:03
  Screamadelica	1991	Damaged	243	05:39
  Screamadelica	1991	I\'m Comin\' Down	252	06:01
  Screamadelica	1991	Higher Than The Sun (A Dub Symphony In Two Parts)	249	07:38
  Screamadelica	1991	Shine Like Stars	242	03:45
  Vanishing Point	2003	Burning Wheel	226	07:07
  Vanishing Point	2003	Get Duffy	202	04:10
  Vanishing Point	2003	Kowalski	233	05:50
  Vanishing Point	2003	Star	235	04:25
  Vanishing Point	2003	If They Move, Kill \'em	236	03:01
  Vanishing Point	2003	Out of the Void	197	03:59
  Vanishing Point	2003	Stuka	215	05:37
  Vanishing Point	2003	Medication	254	03:53
  Vanishing Point	2003	Motorhead	246	03:39
  Vanishing Point	2003	Trainspotting	197	08:08
  Vanishing Point	2003	Long Life	210	03:50
  XTRMNTR	2000	Kill All Hippies	192	04:58
  XTRMNTR	2000	Accelerator	192	03:41
  XTRMNTR	2000	Exterminator	192	05:50
  XTRMNTR	2000	Swastika Eyes [Jagz Kooner Mix]	192	07:06
  XTRMNTR	2000	Pills	192	04:17
  XTRMNTR	2000	Blood Money	192	07:04
  XTRMNTR	2000	Keep Your Dreams	192	05:24
  XTRMNTR	2000	Insect Royalty	192	03:35
  XTRMNTR	2000	MBV Arkestra (If They Move Kill \'Em)	192	06:42
  XTRMNTR	2000	Swastika Eyes [Chemical Brothers Mix]	192	06:33
  XTRMNTR	2000	Shoot Speed/Kill Light	192	05:19
