cd 1

 1. intro                  (4:59)
 2. new dawn               (4:15)
 3. hypocrite              (4:52)
 4. jah glory              (3:59)
 5. la queue du diable     (6:35)
 6. black samorai          (4:39)
 7. samala                 (4:39)
 8. sweet fanta diallo     (5:20)
 9. assinie mafia          (4:43)
10. guerre civile          (5:44)
11. les larmes de therese  (6:30)
12. peace in liberia       (6:30)

cd 2

 1. les inbeciles                                     ( 4:47)
 2. unite nacional                                    ( 5:17)
 3. medley (afriki,bintou,idjidja,samory,rasta poue)  (12:03)
 4. haridjinan                                        ( 5:10)
 5. journalistes en danger                            ( 5:26)
 6. dounougnan                                        ( 6:32)
 7. tere                                              ( 5:05)
 8. brigadier sabari                                  ( 8:06)
