ZOOM HOT HITS SERIES
Disc/Track	Song	Artist
ZMH001-01	Cat Crept In	Mud
ZMH001-02	Secrets That You Keep	Mud
ZMH001-03	If You Can\'t Give Me Love	Suzi Quatro
ZMH001-04	Beautiful Sunday	Daniel Boone
ZMH001-05	Give A Little Love	Bay City Rollers
ZMH001-06	That Same Old Feeling	Pickettywitch
ZMH001-07	Wanted	Dooleys
ZMH001-08	This Is It	Melba Moore
ZMH001-09	More Like The Movies	Dr. Hook
ZMH001-10	I Don\'t Want To Be Alone Tonight	Dr. Hook
ZMH001-11	Years From Now	Dr. Hook
ZMH001-12	Jeans On	David Dundas
ZMH001-13	Freedom Come, Freedom Go	Fortunes
ZMH001-14	Storm In A Teacup	Fortunes
ZMH001-15	Sweet Talkin\' Woman	Electric Light Orchestra
ZMH002-01	Mary\'s Prayer	Danny Wilson
ZMH002-02	Live It Up	Mental As Anything
ZMH002-03	She\'s Electric	Oasis
ZMH002-04	Masterplan	Oasis
ZMH002-05	Crash	Primitives
ZMH002-06	Love Is The Law	Seahorses
ZMH002-07	Riddle	Nick Kershaw
ZMH002-08	Best Years Of Our Lives	Modern Romance
ZMH002-09	Size Of A Cow	Wonder Stuff
ZMH002-10	Laid	James
ZMH002-11	This Charming Man	Smiths
ZMH002-12	Sunday Bloody Sunday	U2
ZMH002-13	Let\'s Dance	Chris Rea
ZMH002-14	Julia	Chris Rea
ZMH002-15	Romeo And Juliet	Dire Straits
ZMH003-01	I\'ll Be Back	Beatles
ZMH003-02	Things We Said Today	Beatles
ZMH003-03	It\'s Only Love	Beatles
ZMH003-04	I\'ve Just Seen A Face	Beatles
ZMH003-05	Night Before	Beatles
ZMH003-06	Taxman	Beatles
ZMH003-07	Little Things	Dave Berry
ZMH003-08	Love Potion #9	Searchers
ZMH003-09	Tell Me When	Applejacks
ZMH003-10	Get Away	Georgie Fame & The Blue Flames
ZMH003-11	Sorry Suzanne	Hollies
ZMH003-12	Tracy	Cufflinks
ZMH003-13	Hitchin\' A Ride	Vanity Fare
ZMH003-14	Must To Avoid	Herman\'s Hermits
ZMH003-15	Silhouettes	Herman\'s Hermits
ZMH004-01	Could It Be Forever	David Cassidy
ZMH004-02	I Am A Clown	David Cassidy
ZMH004-03	Daydreamer	David Cassidy
ZMH004-04	Love Me For A Reason	Osmonds
ZMH004-05	Run For Home	Lindisfarne
ZMH004-06	Something Tells Me	Cilla Black
ZMH004-07	Step Inside Love	Cilla Black
ZMH004-08	My Sweet Rosalie	Brotherhood Of Man
ZMH004-09	Mexican Girl	Smokie
ZMH004-10	You Wear It Well	Rod Stewart
ZMH004-11	Day I Met Marie	Cliff Richard
ZMH004-12	Little In Love	Cliff Richard
ZMH004-13	Dancin\' Party	Showaddywaddy
ZMH004-14	I Wonder Why	Showaddywaddy
ZMH004-15	Little Bit Of Soap	Showaddywaddy
ZMH004-16	Gimme Hope Jo\'anna	Eddy Grant
ZMH004-17	Little Less Conversation	Elvis Presley
ZMH005-01	Jealous Guy	John Lennon
ZMH005-02	Starting Over	John Lennon
ZMH005-03	Imagine	John Lennon
ZMH005-04	Woman	John Lennon
ZMH005-05	Beautiful Boy Darling Boy	John Lennon
ZMH005-06	Working Class Hero	John Lennon
ZMH005-07	Watching The Wheels	John Lennon
ZMH005-08	Another Day	Paul McCartney
ZMH005-09	Helen Wheels	Paul McCartney & Wings
ZMH005-10	C Moon	Wings
ZMH005-11	Live And Let Die	Wings
ZMH005-12	Pipes Of Peace	Paul McCartney
ZMH005-13	We All Stand Together	Paul McArtney & Frog Chorus
ZMH005-14	Saltwater	Julian Lennon
ZMH005-15	End Of The Line	Traveling Wilburys
ZMH006-01	Come Back And Stay	Paul Young
ZMH006-02	Don\'t Pay The Ferryman	Chris Deburgh
ZMH006-03	Logical Song	Supertramp
ZMH006-04	Give A Little Bit	Supertramp
ZMH006-05	Breakfast In America	Supertramp
ZMH006-06	What Colour Is The Wind	Charlie Landsborough
ZMH006-07	Every Day Hurts	Sad Café
ZMH006-08	All Together Now	Farm
ZMH006-09	Heaven Can Wait	Meat Loaf
ZMH006-10	Instant Karma	John Lennon
ZMH006-11	Whatever Gets You Thru The Night	John Lennon
ZMH006-12	Never Never Never	Shirley Bassey
ZMH006-13	Angelo	Brotherhood Of Man
ZMH006-14	Oh Carol	Smokie
ZMH006-15	Rasputin	M Boney
ZMH007-01	Forever Autumn	Justin Hayward
ZMH007-02	No More Heroes	Stranglers
ZMH007-03	Moonlighting	Leo Sayer
ZMH007-04	Far Far Away	Slade
ZMH007-05	Take Me I\'m Yours	Squeeze
ZMH007-06	Hourglass	Squeeze
ZMH007-07	Things We Do For Love	10 C C
ZMH007-08	Substitute	Clout
ZMH007-09	Walking In The Rain	Partridge Family
ZMH007-10	Lay Back In The Arms Of Someone	Smokie
ZMH007-11	Mack The Knife	Robbie Williams
ZMH007-12	On Days Like These	Matt Monro
ZMH007-13	From Russia With Love	Matt Monro
ZMH007-14	Spider And The Fly	Rolling Stones
ZMH007-15	Can\'t Take My Eyes Off You	Boystown Gang
ZMH008-01	Shattered Glass	Ellie Warren
ZMH008-02	Running In The Family	Level 42
ZMH008-03	Bridge To Your Heart	Wax
ZMH008-04	New Song	Howard Jones
ZMH008-05	Like To Get To Know You Well	Howard Jones
ZMH008-06	Looking For Linda	Hue & Cry
ZMH008-07	Love Worth Waiting For	Shakin? Stevens
ZMH008-08	Good Heart	Feargal Sharkey
ZMH008-09	You?Ll Never Know	Hi-Gloss
ZMH008-10	Body Rock	Maria Vidal
ZMH008-11	Rush Hour	Jane Wiedlin
ZMH008-12	Walking In Memphis	Marc Cohn
ZMH008-13	Walk Of Life	Dire Straits
ZMH008-14	Last Night A D.J. Saved My Life	Indeep
ZMH008-15	Ketchup Song	Las Ketchup
ZMH009-01	Merry Christmas Everyone	Shakin\' Stevens
ZMH009-02	All I Want For Christmas Is You	Mariah Carey
ZMH009-03	2000 Miles	Pretenders
ZMH009-04	A Spaceman Came Travelling	Chris Deburgh
ZMH009-05	Winter\'s Tale	David Essex
ZMH009-06	Driving Home For Christmas	Chris Rea
ZMH009-07	Fairytale Of New York	Pogues
ZMH009-08	Best Christmas Of Them All	Shakin\' Stevens
ZMH009-09	Happy Xmas (War Is Over)	John Lennon
ZMH009-10	I Believe In Father Christmas	Greg Lake
ZMH009-11	I Wish It Could Be Christmas Everyday	Wizzard
ZMH009-12	Last Christmas	Wham!
ZMH009-13	Lonely This Christmas	Mud
ZMH009-14	New Year\'s Day	U2
ZMH009-15	Stop The Cavalry	Jona Lewie
ZMH009-16	Wonderful Christmastime	Paul McCartney
ZMH009-17	Merry Xmas Everybody	Slade
ZMH010-01	I Lost My Heart To A Starship Trooper	Sarah Brightman & Hot Gossip
ZMH010-02	Labour Of Love	Hue & Cry
ZMH010-03	Spit In The Rain	Del Amitri
ZMH010-04	Don?T Play Your Rock ?N? Roll To Me	Smokie
ZMH010-05	For A Few Dollars More	Smokie
ZMH010-06	Sherry Darling	Bruce Springsteen
ZMH010-07	Girl U Want	Devo
ZMH010-08	Beautiful World	Devo
ZMH010-09	When I?M Dead And Gone	McGuinness Flint
ZMH010-10	I Love To Boogie	T Rex
ZMH010-11	Hello Happiness	Drifters
ZMH010-12	There?s A Guy Works Down The Chip Shop	Kirsty Maccoll
ZMH010-13	My Mother?S Eyes	Tom Jones
ZMH010-14	Las Vegas	Tony Christie
ZMH010-15	I Did What I Did For Maria	Tony Christie
ZMH010-16	Drive Safely Darling	Tony Christie
ZMH010-17	Is This The Way To Amarillo	Tony Christie
ZMH010-18	Avenues And Alleyways	Tony Christie
ZMH011-01	Better Man	Brian Kennedy
ZMH011-02	Bunch Of Thyme	Foster & Allen
ZMH011-03	All Kinds Of Everything	Dana
ZMH011-04	Danny Boy	Daniel O\'donnell
ZMH011-05	From Clare To Here	Nanci Griffith
ZMH011-06	Isle Of Innisfree	Daniel O\'donnell
ZMH011-07	Love Me	Frances Black
ZMH011-08	Maggie	Foster & Allen
ZMH011-09	Mountains Of Mourne	Irish Mist
ZMH011-10	Only A Woman\'s Heart	Eleanor McEvoy
ZMH011-11	Song For Ireland	De Danann & Mary Black
ZMH011-12	Town I Loved So Well	Phil Coulter
ZMH011-13	What Colour Is The Wind	Charlie Landsborough
ZMH011-14	What\'s Another Year	Johnny Logan
ZMH011-15	When You Were Sweet Sixteen	Fureys & Davey Arthur
