File name	Bitrate	Hz
Smokie - A Stranger With You.mp3	192	44100
Smokie - Alice (Who The F-Ck Is Alice).mp3	128	44100
Smokie - Couldn't Live.mp3	192	44100
Smokie - Goin' Tomorrow.mp3	192	44100
Smokie - Here Lies A Man.mp3	192	44100
Smokie - Hitmix-3.mp3	128	44100
Smokie - I Don't Wanna Talk About It.mp3	128	44100
Smokie - I Swear.mp3	128	44100
Smokie - It Never Rains In Southern California.mp3	128	44100
Smokie - Just When I Needed You Most.mp3	128	44100
Smokie - Lay Back In The Arms Of Someone.mp3	192	44100
Smokie - Living Next Door To Alice.mp3	192	44100
Smokie - Love Hurts.mp3	128	44100
Smokie - Miss You.mp3	192	44100
Smokie - Needles And Pins.mp3	192	44100
Smokie - No-One Could Ecer Love You More.mp3	192	44100
Smokie - Now You Think You Know.mp3	192	44100
Smokie - Oh Carol.mp3	192	44100
Smokie - Run To You.mp3	192	44100
Smokie - Runaway Train.mp3	128	44100
Smokie - Something's Making Me Blue.mp3	192	44100
Smokie - Talking Her 'round.mp3	192	44100
Smokie - The Classic Hits Medley.mp3	VBR143	44100
Smokie - The Loser.mp3	192	44100
Smokie - Train Song.mp3	192	44100
Smokie - When You Walk In The Room.mp3	128	44100
Smokie - Whiskey In The Jar.mp3	128	44100
Smokie - Will You Love Me.mp3	192	44100
Smokie - You Took Me By Surprise.mp3	192	44100
Smokie - Be My Baby.mp3	80	22050
Smokie - Everytime You Go Away.mp3	80	22050
Smokie - Hungry Heart.mp3	80	22050
Smokie - Garden Party.mp3	80	22050
Smokie - (I Just) Died In Your Arms Tonight.mp3	80	22050
Smokie - Only You.mp3	80	22050
Smokie - Hungry Eyes.mp3	80	22050
Smokie - Lodi.mp3	80	22050
Smokie - You're So Vain.mp3	80	22050
Smokie - Sailing.mp3	80	22050
Smokie - I Won't Back Down.mp3	80	22050
Smokie - What Becomes Of The Broken Hearted.mp3	80	22050
Smokie - No Matter What.mp3	80	22050
Smokie - Miss You Nights.mp3	80	22050

:: That's just Co0L
