User Type,Username,Date,Text
,chingchong,2006-03-14T22:28Z,"even if it may not look like it, I AM seeding this!"
,chingchong,2006-03-14T23:36Z,"sorry but I have to shut down my cpu over night, continue seeding in about 10hrs. Don't like it, get it somewhere else....:)"
,tuppen2000,2006-03-15T13:56Z,sluta länka till nåt språk som bara du förstår
,devilboy95,2006-03-16T03:49Z,Anyone know the password?
,chingchong,2006-03-16T17:23Z,What password??? There is no password and I should know
,confusious,2006-03-17T06:06Z,"could someone please confirm that this is the actual motion picture ? and not that stupid documentary ive downloaded 3 times allready..

If this is the real deal then thanks for the upload.. hows the quality ?"
,chingchong,2006-03-17T18:36Z,It's the actual thing. As the name says it is a DVDrip and therefore DVD quality
,confusious,2006-03-18T03:20Z,thanks alot chingchong..!
,Damix,2006-03-25T05:59Z,I'm stuck at 35.2%
,2fast4u2,2006-03-25T14:09Z,This is exelent quality and 5.1 sound. Password: www.rapgodfathers.com
,sexkingkl,2006-03-26T13:03Z,"BEST movie i've seen this year , will get the DVD also ..."
,Damix,2006-03-27T08:50Z,"Says ""The tracker can't be understood"" in BitComet

Any suggestions?"
,chingchong,2006-03-28T14:25Z,"Damix: I suggest you swich client, uTorrent is a good one. And 2fast4u2, what password are you talking about? This torrent haven't got a password!!!"
,H0zz,2006-04-04T22:08Z,love this movie :P
,STE23253,2006-04-05T18:52Z,do i have to burn this to dvd to watch it?
,chingchong,2006-04-05T23:22Z,"no, you simply unrar it and watch it in your media player"
,josecuervotequila,2006-04-06T03:14Z,Bajsakissa!!! IMDB is pure crap!! you cant always trust that site!!!
,nigelt,2006-04-13T11:53Z,"Why are there so many jackasses about!!! people need to sort out their shit b4 they go on a downloading spree!
Respect dudes."
,gugge_22,2006-04-27T19:05Z,"tack chingchong !!!!
men du tror inte du kan seeda?????
annars så verkar det bra iaf"
,*TINKIWINKI*,2006-05-06T15:17Z,plz seeda :S
,snapodapo,2006-05-09T19:14Z,"Please help..
I cant get any sound.
Plz help me someone??"
,ante_91_,2006-05-10T18:00Z,I cant watch it... how du I do?
,zairi,2006-05-14T22:31Z,seed
,Coffaman,2006-05-22T21:57Z,"Great movie, with great acters, download this!!"
,hoolmaren,2006-05-23T17:20Z,why do it need to be so meny files?? 106st!
,db_85,2006-07-31T23:53Z,seeda snälla har bara 2mb kvar att ta hem
,Aleksis,2006-08-12T15:17Z,Please seed...
,arnebanarne,2006-08-24T16:17Z,"wtf ? canät you seed? i've been waiting fot thios one to start download but it doesent download fast, i got fast internet and yuo are eleven persons to seed but you are seeding like my grandma´  ffs start ssed"
,arnebanarne,2006-08-24T16:19Z,"hi again, sorry for whinig, now it's downloading good ! thanks for a very good movie ;)"
,Ztoerdt,2006-08-26T00:54Z,"ey, YO! dis i' da shi' bro!

ma homis fro' de gettoh, liek WORD, DAWG!"
,Wybe,2006-08-28T17:13Z,this movie is doomed to suck
,Hurricaneeee,2006-09-09T11:04Z,Hey !! ffs i cant get the sound right !! it doesnt come !!! it says something about a codec... what should i do and how do i get the sub right ? PLEASE HELP...
,tudski,2007-07-19T13:47Z,wats seeding meen? im new to torrents. do i need seeding for everything i download?
,AlKapone,2007-11-03T14:30Z,please seed homies:D
,kokuz92,2008-01-16T15:31Z,seeds plz
,Beschi,2008-02-20T22:07Z,Nice seeds ??
,bigballs3,2008-03-12T19:18Z,thanks for download will seed baby!
