1 Revelations Audioslave, Cornell 4:12 
2 One and the Same Audioslave, Cornell 3:38 
3 Sound of a Gun Audioslave, Cornell 4:20 
4 Until We Fall Audioslave, Cornell 3:50 
5 Original Fire Audioslave, Cornell 3:38 
6 Broken City Audioslave, Cornell 3:48 
7 Somedays Audioslave, Cornell 3:33 
8 Shape of Things to Come Audioslave, Cornell 4:34 
9 Jewel of the Summertime Audioslave, Cornell 3:53 
10 Wide Awake Audioslave, Cornell 4:26 
11 Nothing Left to Say But Goodbye Audioslave, Cornell 3:32 
12 Moth Audioslave, Cornell 4:57 
