User Type,Username,Date,Text
,peppervacker,2007-07-13T20:13Z,"Audioslave-Cochise (Pins trailer).mp3	3.41 MB
Avenged Sevenfold-Bat Country (fear loathing drops).mp3	4.79 MB
Disturbed-Down With The Sickness (return living dead old men naked).mp3	5.36 MB
Drowning Pool-Bodies (hitchcock buried-night dead report).mp3	8.03 MB
Godsmack Draiman-Vampirs Forsaken (vampire drops).mp3	9.38 MB
Gravity Kills-Guilty (clinton - house baby kills).mp3	3.76 MB
Green Day-Brain Stew (godzilla body brains find eternity crazy).mp3	5.44 MB
Korn-Adidas (sp linch mob).mp3	3.25 MB
Korn-Freak On A Leash (freak drops ans sp demonic).mp3	5.92 MB
Korn-Twisted Transistor (sp korn play full wrath evil).mp3	2.79 MB
Linkin Park-Breaking The habit (odd parents sugar-crypt laugh).mp3	4.49 MB
Marilyn Manson-Beautiful People (prelude scars evil destroyed).mp3	5 MB
Marilyn Manson-Disposable Teens (omen holy trinity).mp3	3.47 MB
Marilyn Manson-Personal Jesus (meet dr satan-meet the devil himself).mp3	2.41 MB
Metallica-Am I Evil (omen poem sponge evil).mp3	8.92 MB
Metallica-Creeping (Frankenstein trailer).mp3	7.52 MB
Metallica-Enter Sandman (exorcist beginnings).mp3	6.32 MB
Mudvayne-Dig (its alive pointless display terror).mp3	2.48 MB
Mudvayne-Forget to Remember (brain wouldnt die trailer).mp3	5.69 MB
Mudvayne-Not Falling (hellraiser drops).mp3	3.66 MB
NIN-Closer (mary mary bloody mary trailer).mp3	7.98 MB
NIN-Head Like A Hole (black museum trailer).mp3	4.74 MB
NIN-Only (beast haunted cave trailer).mp3	6.05 MB
NIN-The Hand That Feeds (aqua monster grabbing leg).mp3	3.94 MB
Pantera-Cemetary Gates (revenge frankenstein trailer).mp3	6.62 MB
Pantera-Walk (omen poem).mp3	6.09 MB
Papa Roach-Getting Away With Murder (dawn of dead-deathwish-hitchcock).MP3	2.98 MB
RATM-Killing In The Name (kill baby kill trailer).MP3	5.23 MB
RHCP-Suck My Kiss (peanuts drops).mp3	4.24 MB
Rob Zombie-Dragula (scooby turns into zombie).mp3	3.4 MB
Rob Zombie-Living Dead Girl (lady frankenstein trailer).mp3	4.73 MB
Slipknot-Before I Forget (sp critter christmas hail satan).mp3	5.04 MB
Slipknot-Wait & Bleed (unholy appetite blood-willie childrens blood).mp3	2.42 MB
SOAD-Aerials (war of worlds).mp3	5.44 MB
SOAD-BYOB (aqua no regard human life).mp3	4.09 MB
Static-Bled for Days (castle of blood trailer).mp3	5.62 MB
Static-Push It (house haunted hill trailer).mp3	2.83 MB
Tool-Aenima (horror of the zombies trailer).mp3	6.17 MB
Tool-Stinkfist (the shining).mp3	5.13 MB
Type O Negative-Christian Woman (nosferatu-brando).mp3	4.08 MB
Union Underground-Turn Me On Mr Deadman (scooby headless-fri 13th sfx).MP3	3.19 MB
Van Helsing Curse (aqua bus of undead).mp3	8.37 MB
White Zombie-Im Your Boogieman (house 1000 boogie real).mp3	4.39 MB
White Zombie-More Human Than Human (war of zombies trailer).mp3	5.07 MB
White Zombie-SuperCharger Heaven (house 1000 murder ride).mp3	4.42 MB

"
,bumletog,2007-07-14T23:41Z,this is gonna be fun i bet
,ParasiteGod,2007-08-12T14:17Z,Halloween music without Alice Cooper? aaw...
,kissedtokill,2007-10-10T08:19Z,Thanks alot. this was  one bad ass upload. i hope you mix some more. this is probably one of the most origial torrent uploads ive heard. deffinatley worth the download.
,dopestar1975,2009-10-18T03:35Z,"fucking awsome dl worth it wish it had some ozzy/sabbath, dio, and cooper on it"
