CBS RADIO MYSTERY THEATER PROGRAMS:

1391. Nov 9, 1982  Portrait of the Past 	Bob Kaliban, William Griffis
1392.Nov 11, 1982  The Twelfth Juror		Marian Seldes
1393.Nov 16, 1982  The Magic Dust		Tony Roberts
1394.Nov 18, 1982  Diamond Dotty		Teri Keane
1395.Nov 23, 1982  The Smile			Tony Roberts
1396.Nov 25, 1982  The Reigate Mystery		Gordon Gould
1397.Nov 30, 1982  The Goddess of Death 	Diana Kirkwood, Mandel Kramer
1398. Dec 2, 1982  The Last Plan		Elspeth Eric
1399. Dec 7, 1982  The Boatman and the Devil	Alexander Scourby

--- END OF SERIES ---
