User Type,Username,Date,Text
,Ferggs,2006-12-15T21:54Z,"Let's see if this works...
"
,Ferggs,2006-12-15T21:57Z,"Damn! Ok here's the tracklist in Text Form:

RayCast 01 - December Pilot
0:55:30 - 134-142 BPM

Blues, House, Trance, Breakbeat

A.	Introduction by DJ Ray Ferguson
B.	Blues Brothers - I CAn't Turn You Lose

1.	Solar Stone ft. Jes - Waterfall
2.	Scooter - Apache
3.	Madonna - Vogue (White Label Remix)
4.	Solid Globe - Black Wood
5.	Ferry Corsten - It's Time
6.	Armin Van Buuren ft. Racoon - Love You More
7.	Underworld - Born Slippy
8.	Sander Van Doorn - SOS
9.	Ferrin & Low - Breeze ('Til Dawn Mix)"
