Neil Diamond :The ultimate collection,mp3 192 kbps            
        01         Sweet Caroline 			
  	02 . 	Song Sung Blue 			
  	03 . 	Cracklin' Rosie 			
  	04 . 	Love on the Rocks 			
  	05 . 	Beautiful Noise 			
  	06 . 	Forever in Blue Jeans 			
  	07 . 	Hello Again 			
  	08 . 	Red, Red Wine 			
  	09 . 	Everybody's Talkin' 			
  	10 . 	Girl, You'll Be a Woman Soon 			
  	11 . 	I'm a Believer 			
  	12 . 	Heartlight 			
  	13 . 	Up on the Roof 			
  	14 . 	Desirée 			
  	15 . 	If You Know What I Mean 			
  	16 . 	Longfellow Serenade 			
  	17 . 	Play Me 			
  	18 . 	You Got to Me 			
  	19 . 	I (Who Have Nothing)
        20      I Am...I Said 			
  	21 . 	Solitary Man 			
  	22 . 	He Ain't Heavy, He's My Brother 			
  	23 . 	Cherry, Cherry 			
  	24 . 	Walk on Water 			
  	25 . 	Soolaimon 			
  	26 . 	The Sun Ain't Gonna Shine (Anymore) 			
  	27 . 	Stones 			
  	28 . 	You've Lost That Lovin' Feelin' 			
  	29 . 	Morning Has Broken 			
  	30 . 	Chelsea Morning 			
  	31 . 	Mr. Bojangles 			
  	32 . 	Yesterday's Songs 			
  	33 . 	Thank the Lord for the Night Time 			
  	34 . 	Brother Love's Traveling Salvation Show 			
  	35 . 	September Morn' 			
  	36 . 	Kentucky Woman 			
  	37 . 	I Got the Feelin' (Oh No, No) 			
  	38 . 	America 			
  	39 . 	Holly Holy 			
  	40 . 	You Don't Bring Me Flowers
