CD: Laura Veirs - Carbon Glacier
       YEAR: 2004

01. Ether Sings    [0:03:44.66]
02. Icebound Stream    [0:03:04.20]
03. Rapture    [0:03:06.82]
04. Lonely Angel Dust    [0:02:38.26]
05. The Cloud Room    [0:02:52.90]
06. Wind Is Blowing Stars    [0:02:43.60]
07. Shadow Blues    [0:04:20.66]
08. Anne Bonny Rag    [0:02:15.60]
09. Snow Camping    [0:03:12.36]
10. Chimney Sweeping Man    [0:03:13.04]
11. Salvage a Smile    [0:01:52.42]
12. Blackened Anchor    [0:02:05.90]
13. Riptide    [0:04:16.56]
