Track	Title			Duration

1.  	Enter Pt.1  	        00:07  	  	        	
2. 	Alright 	        03:22 	
3. 	Late Night 	        04:02 		
4. 	Dor or Die 	        05:17 	 	       	
5. 	Enter Pt. 2 	        00:14 	 	       	
6. 	Back of the Club        04:05 	 	       	
7. 	Round and Round         03:03 	 	       	
8. 	Beautiful 	        04:33 	 	       	
9. 	Lace You 	        04:57 	 	       	
10. 	Miss My Love 	        03:22 	 	       	
11. 	Missing You 	        04:45 	 	       	
12. 	Don't Leave 	        04:54 	 		
13. 	My Rose 	        03:48 	

