Artist: Chris Brown
Title: Exclusive   
Type: Album                
Release Date: November 6, 2007                            
Label: Jive                                               




               TRACKNAME                             TIME

01. Throwed                                          02:59
02. Kiss Kiss (Feat. T-Pain)                         04:12
03. Take You Down                                    04:03
04. With You                                         04:13
05. Picture Perfect (Feat. Will.I.Am)                04:15
06. Hold Up (Feat. Big Boi)                          03:49
07. You                                              03:22
08. Damage                                           04:16
09. Wall To Wall                                     03:44
10. Help Me                                          03:18
11. I Wanna Be                                       03:47
12. Gimme Whacha Got (Feat. Lil Wayne)               03:48
13. I'll Call Ya                                     03:53
14. Lottery                                          03:39
15. Nice (Feat. The Game) (Bonus Track)              04:32
16. Down (Feat. Kanye West) (Bonus Track)            04:14

Front Cover (Included)
