DISC/TRACK	ARTIST	SONG
TU026-01	Shaggy	Angel
TU026-02	B B Mak	Back Here
TU026-03	U2	Beautiful Day
TU026-04	Bon Jovi	Bed Of Roses
TU026-05	Crazy Town	Butterfly
TU026-06	K C & Jojo	Crazy
TU026-07	Sting	Desert Rose
TU026-08	Sting	Fill Her Up
TU026-09	Shaggy	It Wasn't Me
TU026-10	N Sync	It's Gonna Be Me
TU026-11	Bon Jovi	It's My Life
TU026-12	Three Doors Down	Kryptonite
TU026-13	Three Doors Down	Loser
TU026-14	Outkast	Ms. Jackson
TU026-15	Wallflowers	Sleepwalker
TU026-16	Bon Jovi	Thank You For Loving Me
TU026-17	Backstreet Boys	Call
TU026-18	Sting (Wvocal)	Fill Her Up
TU027-01	Jennifer Lopez	Ain't It Funny
TU027-02	A T C	Around The World
TU027-03	Joan Osborne	Crazy
TU027-04	Madonna	Don't Tell Me
TU027-05	Dream	He Loves You Not
TU027-06	Melanie C	I Turn To You
TU027-07	Jennifer Lopez	I'm Real
TU027-08	Dream	In My Dreams
TU027-09	Jennifer Lopez	Love Don't Cost A Thing
TU027-10	Joan Osborne	One Of Us
TU027-11	Joan Osborne	Righteous Love
TU027-12	Macy Grey	Still
TU027-13	Britney Spears	Stronger
TU027-14	Pink	You Make Me Sick
TU027-15	Jennifer Lopez	Ain't It Funny (Wvocal)
TU027-16	Joan Osborne	Crazy (Wvocal)
TU027-17	Joan Osborne	Righteous Love (Wvocal)
TU028-01	Elvis Presley	Fool Such As I
TU028-02	Elvis Presley	All Shook Up
TU028-03	Elvis Presley	American Trilogy
TU028-04	Elvis Presley	Are You Lonesome Ronight
TU028-05	Elvis Presley	Blue Christmas
TU028-06	Elvis Presley	Blue Suede Shoes
TU028-07	Elvis Presley	Burning Love
TU028-08	Elvis Presley	Can't Help Falling In Love
TU028-09	Elvis Presley	Crying In The Chapel
TU028-10	Elvis Presley	Devil In Disguise
TU028-11	Elvis Presley	Don't Be Cruel
TU028-12	Elvis Presley	Heartbreak Hotel
TU028-13	Elvis Presley	Hound Dog
TU028-14	Elvis Presley	In The Ghetto
TU028-15	Elvis Presley	It's Now Or Never
TU028-16	Elvis Presley	Jailhouse Rock
TU028-17	Elvis Presley	Love Me Tender
TU028-18	Elvis Presley	My Way
TU028-19	Elvis Presley	Return To Sender
TU028-20	Elvis Presley	Stuck On You
TU028-21	Elvis Presley	Suspicious Minds
TU028-22	Elvis Presley	Teddy Bear
TU028-23	Elvis Presley	Viva Las Vegas
TU028-24	Elvis Presley	Wonder Of You
TU028-25	Elvis Presley	You Don't Have To Say You Love Me
TU029-01	Frank Sinatra	All The Way
TU029-02	Frank Sinatra	Come Fly With Me
TU029-03	Frank Sinatra	Fly Me To The Moon
TU029-04	Frank Sinatra	For Once In My Life
TU029-05	Frank Sinatra	Girl From Ipanema
TU029-06	Frank Sinatra	I Get A Kick Out Of You
TU029-07	Frank Sinatra	I'll Never Smile Again
TU029-08	Frank Sinatra	It Was A Very Good Year
TU029-09	Frank Sinatra	I've Got The World On A String
TU029-10	Frank Sinatra	I've Got You Under My Skin
TU029-11	Frank Sinatra	Lady Is A Tramp
TU029-12	Frank Sinatra	Luck Be A Lady
TU029-13	Frank Sinatra	My Funny Valentine
TU029-14	Frank Sinatra	My Kind Of Town
TU029-15	Frank Sinatra	My Way
TU029-16	Frank Sinatra	New York, New York
TU029-17	Frank Sinatra	September Song
TU029-18	Frank Sinatra	Strangers In The Night
