User Type,Username,Date,Text
,jay_man,2006-01-13T12:47Z,Speed!!
,Odeh,2006-01-23T17:39Z,seed!!!!
,pederkli,2006-05-07T20:30Z,works for all updates?
,Marcus_nor,2006-05-26T19:58Z,"Is that Dll File realy required? I mean, wouldnt it be enough with the crack?"
,PaP1,2006-10-07T17:22Z,"Seeda på nu, Det enda jag saknar är BF2 CD CRACK.."
,not4you,2006-10-09T19:41Z,Vart ska man lägga in cracken?
,badassmotherfucker,2006-12-25T15:45Z,Virus? I't sound very little with a 5.78 MiB game?
,giefmoreSEEDSplXX,2007-01-28T12:18Z,"Lol dumbass! Its a NO-CD not a game, neither a virus!"
,Ivan,2007-03-03T15:21Z,e den på svenska eller?:S
,ez0n_xen,2007-03-12T12:51Z,LOL
,M-Crow,2007-04-03T05:54Z,"Thank You, I'll seed aswell."
,fredda-21,2007-05-29T14:36Z,kan någon hjälpa mig? var ska jag lägga den? jag tästade att lägga in båda men när jag skulle starta utan skiva blev det bara svart. och förut när jag slulle cracka ett spel så skulle man bara klistra in en sak (altså den som det är spelets logga på) är det samma här?
,Assassin 4D,2007-06-09T11:37Z,"Thanx works grait!
I'll sedd for a week."
,Assassin 4D,2007-06-09T11:41Z,thanx
,Hybr!d,2007-06-19T20:41Z,seed pls
,arsenal8,2007-06-20T00:01Z,can somebody help? where sude i put it?:S:D 
,Sgt. Cane,2007-06-30T20:33Z,Jag har inte sett vad det är för fil men jag antar att man ersätter genvägen i C/program/bf2 (bf2 ikonen man startar spelet med) med den här filen
,sk8alle,2007-07-05T10:10Z,plz i think that you should put IT IN YOUR DAMN ASS ADMIN! IT DOESN´T WORK!!
,FaugYou,2007-07-31T21:27Z,it works thanks for seeding too =)
,ubatensven,2007-08-04T16:14Z,DEt blir bara svart!!
,lolzlolzlolz,2007-08-10T09:35Z,"Lol!
det funkar inte står att den inte hittar memory.dll sen om man laddar ned den så står det att de snaknas något i filen,! 
Kan någon hjälpa mej, om du kan adda på msn
Magnuslarsson807@hotmail.com"
,Jansson_FTW,2007-08-16T23:53Z,look how fast its going FUCKING 2kB/s ! man what do upload rate u have time too pull ur fucking head out of ur ass and take a look at th torrent
,frogsquad,2007-09-12T13:07Z,"What should I do? It goes black when I start the game. 
By the way, LOVE the seed. Done in 2 min"
,Unimatu,2007-09-18T06:15Z,Seed please...
,Ondonttr,2007-10-20T00:28Z,i also have the same problem and after a while it just closes the game can anyone help plzzzzzzzzzzzz
,crxer,2007-11-08T21:08Z,"Alla ni som har problem med att skärmen blir svart, ni har en annan version av bf2. Gå till denna sida och ladda ner ett crack för rätt version: http://www.freeinfosociety.com/site.php?postnum=1153"
,viggecool,2008-01-07T12:54Z,lock at the how much plase its take fatt ASSES
,FreddeSWE_CS,2008-02-10T17:53Z,Skärmen blir svart för mej med men ja har testat alla cracks men ingen fungerar??? Va ska jag göra snälla hjälp mig!!
,lt556,2008-02-12T08:57Z,wtf  it doasent work stupid fucking game
,mikey83,2008-02-27T18:46Z,"Is this the stupid fuucking reloaded crack??

And wich fuucking version u dumb fook!!!!!!!!"
,ossi09,2008-03-12T16:05Z,SeeeD
,sslm,2008-04-08T16:15Z,It can't find memory.dll how can i fix that?
,64gustavsson,2008-08-08T22:48Z,hur vet man vilken version man har...
,64gustavsson,2008-08-08T22:50Z,Va fan den hittar ju inte cd 2.....Grrrr
,Motocrossboy69,2009-03-17T23:10Z,I seriously dont get this:S i copyed the crack into the Battlefield 2 folder then i did fuck all:/ what am i spose to do? cheers
,csmaster65,2009-03-23T20:59Z,"Copy and Replace, that means i deleted the original with this file that doesen't even work. running patch 1.4 so that could be it. Buy the game if u like it."
,Pankakes,2009-06-09T20:19Z,Seed PLZ! :l
,tjuty,2009-07-04T18:05Z,Works perfect ! Thx !
,asins,2009-07-07T18:03Z,"Here is how you can play internet without any crack:

1. DO NOT use crack!

2. Use mini-image (mount it with daemon tools).

3. In game menu, choose ""connect IP""

4. Cracked server IP: 78.46.48.204 

This server have all weapons unlocked.

Their forum is: http://www.187-server.eu

note: if you use crack, you got black screen bug. So dont whine about black screen bug if you are using any crack."
,stationmiek,2009-07-13T20:14Z,"The game checks for validity of the original game - if it finds anything of fault, it won't work. The game is only £15 with all the 3 addons, just buy it, you won't be able to play this online without a crack."
,thiagomarco32,2009-08-08T20:31Z,=||-S-E-E-E-E-E-E-E-E-E-E-E-E-E-E-E-E-E-E-E-E-E-E-E-E-E-E-E-D-||= !  !  !  !  !  .  .  .  .  .
,Blue_World,2010-02-20T15:33Z,"For all of you that gets the invalid key when you try to play online. You need to play on a cracked server! Here is one 100/100Mbit from sweden
83.233.17.165:16567
on this server you can play with invalid or valid keys! 

För er som talar svenska så har jag altså lagt upp en crackad server i sverige på 100/100 Mbit.
Anslut er på 83.233.17.165:16567 så ska de funka bra =)"
,Vicke24,2010-04-11T13:31Z,Crzer this site is shit not works and fucking shit game!!!!!!!
,motabikeboy,2010-08-15T13:38Z,"hey, this crack worked perfectly, thank you so much for uploading, i nealy just got rid off my BF2 file because i couldnt find one that worked for it. cheers"
,ikbenadje,2010-10-06T12:53Z,thanks a lot. works perfect.
,aspiratr7,2011-09-06T23:27Z,wtf how do you work this shit? it doesnt work
,friscosul,2011-10-15T00:03Z,works perfectly! thx but this game is 100% fake i ve played enemy terrytory quake wars and is and its identical
,Darshak,2012-01-06T12:38Z,Plz seed ppl really need it badly....getting 1.5kbps
