  	   	 
Título original: 	MONDO CANE I
	
Dirección:	Gualtiero Jacopetti
	
Género: 	Documentales
	
Duración: 	89
	
Calificación: 	Apta todo Público
	
Idioma original: 	Italiano
	
Subtítulos/doblaje: 	S
	
País de origen: 	Italia
	
Año de realización: 	1962
	

Comentario:

Mondo Cane, inició la línea de documentales sobre hechos que horrorizan a la sociedad. El creador de ésta actitud cinematográfica es el realizador Gualtiero Jacopelli, mundialmente conocido por Mundo Cane l y Mundo Cane 2 que han dejado atónito al público que los convirtió en un éxito pocas veces registrado. Jacopelli pensó que sobre los horrores, supertición y monstruosidades del mundo de hoy había mucho que decir y conocer. 
