
                                   Fronda


        Title:                                                    Time:
   
   1. Big Brother 2005                                           02:32
   2. Dampbarn Med Dampryck                                      04:07
   3. Det Andra Svaret                                           03:38
   4. En Spark i Ansiktet                                        04:49
   5. Fattar du Ingenting                                                                                                                                                                                                                                                                                                                                                                 02:51
   6. Fjortis                                                    03:52
   7. Gangster                                                                                                                                                                                                                                                                                                                                             04:08
   8. Jag är en Tönt som Spelar Counter-Strike                   03:10
   9. Getto                                                      03:48
  10. Kamphundar                                                 03:55
  11. Gränslandet                                                04:35
  12. Rullar Fram                                                03:46
  13. Sitter i Min Barnstol                                      04:02
  14. Sommar                                                     04:29
  15. Tänd den                                                   03:59
  16. Mitt Rop på Hjälp                                          04:06
  17. Whop Whop                                                  03:05
  18. Det Kallar vi Bomb                                         02:47
  19. Klick Kilck BOOM                                           04:05
  20. Kenta Kuk                                                  04:04
  21. Min Värld                                                  04:08
  22. Kära Magister                                              03:49

                                                                01:22:56

              Search for ThaNiklas to find our other torrents =)
