User Type,Username,Date,Text
,whitenoze,2006-12-31T09:30Z,"|--------------------------------------------------------------------------------|
|Artist: Dustin Whitenoze--------------------------------------------------------|
|Mix Name: Dustin Whitenoze @ Whitenoze Birthday Party 14.10.2006 (01.00 - 02.00)|
|Label: White Dust Inc.----------------------------------------------------------|
|Date Performed: 22/09/2006------------------------------------------------------|
|Genre: Hard-Techno/Hardcore/Schranz---------------------------------------------|
|Duration: 63:01-----------------------------------------------------------------|
|Type: mp3-----------------------------------------------------------------------|
|Tracklist:----------------------------------------------------------------------|
|--------------------------------------------------------------------------------|
|Included Artists: HardTrax,Jackhamma,Calrek,Weichentechnikk,--------------------|
|Waldhaus,Bazz Dee,Dj Amok & Chris Liebing---------------------------------------|
|--------------------------------------------------------------------------------|
|Options: The First Agressive Hard-Techno/Hardcore/Schranz-----------------------|
|Mix made by Dustin Whitenoze :)Sounds dark,horror and....hard..-----------------|
|..Very Hard :)------------------------------------------------------------------|
|--------------------------------------------------------------------------------|"
,mick6680,2007-01-23T21:57Z,"It might be good yes,yes but the SPEED is zero."
