File name                                              Size              
-----------------------------------------------------  ---------------   
00-va_-_ekwador_manieczki_vol_6-2005-afo.m3u                        38   
00-va_-_ekwador_manieczki_vol_6-2005-afo.nfo                     8,187   
00-va_-_ekwador_manieczki_vol_6-2005-afo.sfv                        99   
00-va_-_ekwador_manieczki_vol_6-2005-afo.cue                     1,997   
00-va_-_ekwador_manieczki_vol_6-2005-back-afo.jpg              510,696   
00-va_-_ekwador_manieczki_vol_6-2005-front-afo.jpg           1,731,187   
00-va_-_ekwador_manieczki_vol_6-2005-inlay-afo.jpg           1,659,282   
01-va-ekwador_manieczki_vol_6-afo.mp3                      112,865,870   

total files 8    total size     116,777,356
