Einhander (1997) Soundtrack

Track Title 	Track Time

01) Assault 	   1:04
02) Take Off 	   0:59
03) Capital 	   0:34
04) Street 	   2:44
05) Ruins 	   1:05
06) Chase 	   1:36
07) Machine Beat   3:35
08) Badlands       4:00
09) Silence 	   1:34
10) Warning 	   3:55
11) Breakthrough   2:54
12) Factory 	   3:17
13) Dawn           2:55
14) Madness 	   3:04
15) Conflict 	   3:11
16) Impatience 	   3:02
17) Thermosphere   3:20
18) Afterimage 	   3:17
19) Advent 	   0:38
20) Rebellion 	   1:29
21) Zero Gravity   3:14
22) Shudder        2:27
23) Bloody Battle  3:23
24) Muddle 	   0:19
25) Moonlight 	   0:13
26) Judgment 	   1:11
27) Earthlight 	   3:05
28) Metempsychosis 1:37
29) Beginning 	   1:59
Bonustrack Einhander_Waztelands_OC_ReMix 3:00
