User Type,Username,Date,Text
,microchip,2007-10-01T22:10Z,Alert !!  Trojan Horse BackDoor.Hupigon2.JDQ
,fantomcat_2k,2008-12-20T00:48Z,"Yes! Trojan Horse dont download this!!!!
VIRUS! VIRUS! VIRUS! VIRUS! VIRUS!"
,radek_x,2010-05-12T11:40Z,"File MicroPdfEditor.exe received on 2010.05.12 09:18:44 (UTC)
Current status: Loading ... queued waiting scanning finished NOT FOUND STOPPED
Result: 30/41 (73.18%)

Antivirus  	Version  	Last Update  	Result
a-squared	4.5.0.50	2010.05.10	Backdoor.Win32.GrayBird.EJ!IK
AhnLab-V3	2010.05.12.01	2010.05.12	Trojan/Win32.Trojan Horse
AntiVir	8.2.1.236	2010.05.12	BDS/Gendal.990095
Antiy-AVL	2.0.3.7	2010.05.12	-
Authentium	5.2.0.5	2010.05.12	W32/Heuristic-210!Eldorado
Avast	4.8.1351.0	2010.05.12	Win32:Trojan-gen
Avast5	5.0.332.0	2010.05.12	Win32:Trojan-gen
AVG	9.0.0.787	2010.05.12	BackDoor.Hupigon2.JDQ
BitDefender	7.2	2010.05.12	Backdoor.Generic.28052
CAT-QuickHeal	10.00	2010.05.12	Trojan.Bumat.rts
ClamAV	0.96.0.3-git	2010.05.12	-
Comodo	4827	2010.05.12	UnclassifiedMalware
DrWeb	5.0.2.03300	2010.05.12	-
eSafe	7.0.17.0	2010.05.11	Win32.TrojanHorse
eTrust-Vet	35.2.7481	2010.05.11	-
F-Prot	4.5.1.85	2010.05.12	W32/Heuristic-210!Eldorado
F-Secure	9.0.15370.0	2010.05.12	Backdoor.Generic.28052
Fortinet	4.1.133.0	2010.05.12	-
GData	21	2010.05.12	Backdoor.Generic.28052
Ikarus	T3.1.1.84.0	2010.05.12	Backdoor.Win32.GrayBird.EJ
Jiangmin	13.0.900	2010.05.12	-
Kaspersky	7.0.0.125	2010.05.12	-
McAfee	5.400.0.1158	2010.05.12	Generic.dx
McAfee-GW-Edition	2010.1	2010.05.12	Heuristic.LooksLike.Win32.Suspicious.F
Microsoft	1.5703	2010.05.12	-
NOD32	5107	2010.05.12	probably a variant of Win32/Agent
Norman	6.04.12	2010.05.12	W32/Packed_NsPack.I
nProtect	2010-05-12.01	2010.05.12	Backdoor/W32.Hupigon.990095
Panda	10.0.2.7	2010.05.11	Generic Trojan
PCTools	7.0.3.5	2010.05.12	Voronezh.1600.A
Prevx	3.0	2010.05.12	High Risk System Back Door
Rising	22.47.02.04	2010.05.12	-
Sophos	4.53.0	2010.05.12	Mal/Packer
Sunbelt	6293	2010.05.12	Trojan.Win32.Generic!BT
Symantec	20101.1.0.89	2010.05.12	Trojan Horse
TheHacker	6.5.2.0.279	2010.05.11	W32/Behav-Heuristic-067
TrendMicro	9.120.0.1004	2010.05.12	TROJ_Generic.A
TrendMicro-HouseCall	9.120.0.1004	2010.05.12	TROJ_Generic.A
VBA32	3.12.12.4	2010.05.12	-
ViRobot	2010.5.12.2311	2010.05.12	-
VirusBuster	5.0.27.0	2010.05.11	Packed/NSPack"
