User Type,Username,Date,Text
[V],velvetfog,2004-11-18T08:46Z,http://www.imdb.com/title/tt0108211/
,verniz,2004-11-18T21:35Z,Klart en av de bästa krigsfilmer som har gjorts..!!!
,freknemuff,2005-04-22T14:51Z,kommigen jag har stått på 98% hela veckan. vad fan är felet
,IlyaZ,2005-04-24T16:38Z,"Filmen är superb, ngt annat än amerikanska skitfilmer."
,WinDrop,2005-05-07T14:13Z,Snälla fortsätt att seeda den.
,larsasan,2005-06-21T19:48Z,"seeda...snälla....har stått på 98,1 % i snart en vecka......"
,Mindir,2005-07-01T22:13Z,Kan ni seda snälla....
,peck27,2005-08-08T01:50Z,Ligger på 99.7%....så ni vet vad som gäller. thx
,guran1981,2006-04-04T18:35Z,"Är det Swesub på denna?!?
Seed someone pls!"
,Algiotar,2006-06-12T22:22Z,Seeda någon!!!
,Squaizer,2006-08-26T23:50Z,"Seeda Plzz, vill verkligen ha den !!"
,purula,2006-11-01T18:23Z,"Seeda, snälla!!"
,izilagor,2007-01-07T17:59Z,seed im on 99.9%
,dr_rock,2007-06-13T14:16Z,"Hi, if someone will seed, I will continue the torrent until I am at 500%, thanks"
