Filename,Size,Unit
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 01 - Tusen grunner til ikke Ã¥ ha sex i kveld.mp3,3.94,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 02 - Fylla har skylda.mp3,2.96,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 03 - Tiden leger alle sÃ¥r.mp3,2.88,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 04 - Alle fine damer har ei stygg venninne.mp3,3.46,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 05 - Han er forelsket i en tom bÃ¦repose.mp3,1.77,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 06 - En diger elg pÃ¥ puta.mp3,3.37,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 07 - Pol'tiet.mp3,2.99,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 08 - En spansk en.mp3,3.57,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 09 - Store svarte hender.mp3,3.32,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 10 - Verdens beste tunge.mp3,3.44,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 11 - Jeg stryker min gullfisk flat.mp3,2.96,M
"/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 12 - Penger, penger, adjÃ¸.mp3",3.52,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 13 - Spellemannsprisen.mp3,882,K
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 14 - En jeg ikke stoler pÃ¥.mp3,3.96,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 15 - Paven pÃ¥ vannski.mp3,668,K
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 16 - Livet er lett Ã¥ gjÃ¸re vanskelig.mp3,4.34,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 17 - Verdens vakreste kumlokk.mp3,1.09,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 18 - Trafikksjefens etat.mp3,3.15,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 19 - Svada.mp3,3.66,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 20 - Hubaluba.mp3,3.67,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 21 - Kom til onkel.mp3,5.07,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 22 - Kan jeg fÃ¥ barbere ditt marsvin.mp3,3.88,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 23 - Fusk.mp3,5.52,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 24 - Topp Ã¥ bo i Blokk.mp3,4.59,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 25 - ElefantbÃ¦sjblues.mp3,2.03,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 26 - Jesus lÃ¦rte meg Ã¥ jodle.mp3,5.38,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 27 - Fuglen Svein.mp3,2.06,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 28 - Funky Fisk.mp3,4.3,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 29 - Horn & Hale.mp3,382,K
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 30 - Min elskede Buffet.mp3,4.42,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 31 - Dong.mp3,3.78,M
/De Beste/Cd 1/Tom Mathisen & Herodes Falsk - De Beste; cd1 - 32 - Vi er gÃ¦rne vi.mp3,4.4,M
