01.Nosotros                                   [03:51]
02.Inolvidables                               [03:48]
03.Adoro                                      [03:35]   
04.Noche De Ronda                             [03:36]
05.Usted                                      [03:16]   
06.No Me Quieras Tanto                        [03:43]
07.Solamente Una Vez                          [03:15]
08.Obsesion                                   [03:16]    
09.No Me Platiques Mas                        [03:29]
10.Llanto De Luna                             [03:40]   
11.Mucho Corazon                              [03:34] 
12.Siempre En Mi Corazon                      [03:21]
