Filename,Size,Unit
/01 - Firefly - The Complete Score; Greg Edmonson - Firefly - Main Theme.mp3,1.59,M
/02 - Firefly - The Complete Score; Greg Edmonson - Firefly - End Theme (Extended).mp3,1.16,M
/03 - Firefly - The Complete Score; Greg Edmonson - Firefly - End Theme (Regular).mp3,799.53,K
/04 - Firefly - The Complete Score; Greg Edmonson - Serenity - Mal Fires The Gigantic Gun.mp3,1.55,M
/05 - Firefly - The Complete Score; Greg Edmonson - Serenity - Mal Losing Everything.mp3,940.85,K
/06 - Firefly - The Complete Score; Greg Edmonson - Serenity - Mal Opening The Vault.mp3,264.35,K
/07 - Firefly - The Complete Score; Greg Edmonson - Serenity - The Goods Are Intact.mp3,528.35,K
/08 - Firefly - The Complete Score; Greg Edmonson - Serenity - Incoming Alliance Cruiser.mp3,1.51,M
/09 - Firefly - The Complete Score; Greg Edmonson - Serenity - Alliance Anthem.mp3,823.66,K
/10 - Firefly - The Complete Score; Greg Edmonson - Serenity - Lowlife Vultures Picking The Flesh.mp3,2.54,M
/100 - Firefly - The Complete Score; Greg Edmonson - Jaynestown - Stitch Beats On Simon.mp3,2.29,M
/101 - Firefly - The Complete Score; Greg Edmonson - Jaynestown - Jayne And Stitch Fight.mp3,4.07,M
/102 - Firefly - The Complete Score; Greg Edmonson - Jaynestown - The Ending.mp3,2.64,M
/103 - Firefly - The Complete Score; Greg Edmonson - Jaynestown - Various Intermissions - 1.mp3,226.48,K
/104 - Firefly - The Complete Score; Greg Edmonson - Jaynestown - Various Intermissions - 2.mp3,448.66,K
/105 - Firefly - The Complete Score; Greg Edmonson - Jaynestown - Various Intermissions - 3.mp3,257.41,K
/106 - Firefly - The Complete Score; Greg Edmonson - Jaynestown - Various Intermissions - 4.mp3,532.1,K
/107 - Firefly - The Complete Score; Greg Edmonson - Out Of Gas - The Opening Scene.mp3,1.45,M
/108 - Firefly - The Complete Score; Greg Edmonson - Out Of Gas - Zoe Gets Hurt.mp3,744.92,K
/109 - Firefly - The Complete Score; Greg Edmonson - Out Of Gas - It Was My Birthday....mp3,627.73,K
