48 episodes from seasons 1, 2 and 3.  Collected from different places.  I converted some of them from nasty codecs to XviD.
Video codec, dimensions, file size and video bitrate follows.  All audio is MP3.

S1E01: XviD,  320x240, 257 KB, 601 kb/s (converted from ASF)
S1E04: DivX5, 480x352, 504 KB, 1059 kb/s
S1E07: DivX5, 316x240, 147 KB, 302 kb/s
S1E08: DivX5, 320x240, 147 KB, 301 kb/s
S1E09: DivX5, 320x240, 147 KB, 303 kb/s
S1E10: DivX5, 480x352, 560 KB, 1198 kb/s
S1E11: DivX5, 320x240, 132 KB, 299 kb/s
S1E12: XviD,  352x240, 247 KB, 587 kb/s (converted from MPEG1)
S1E13: XviD,  352x240, 223 KB, 590 kb/s (converted from MPEG1)
S1E14: XviD,  352x240, 232 KB, 602 kb/s (converted from MPEG1)
S1E15: XviD,  320x240, 203 KB, 599 kb/s (converted from ASF)
S1E16: XviD,  352x240, 232 KB, 608 kb/s (converted from MPEG1)
S1E20: XviD,  320x240, 240 KB, 607 kb/s (converted from ASF)
S2E01: XviD,  320x240, 235 KB, 601 kb/s (converted from ASF)
S2E02: XviD,  320x240, 225 KB, 605 kb/s (converted from ASF)
S2E03: XviD,  320x240, 227 KB, 603 kb/s (converted from ASF)
S2E04: XviD,  352x240, 248 KB, 593 kb/s (converted from MPEG1)
S2E10: XviD,  352x240, 210 KB, 470 kb/s (converted from MPEG1)
S2E11: XviD,  320x240, 320 KB, 639 kb/s (converted from ASF)
S2E12: XviD,  352x240, 282 KB, 606 kb/s (converted from MPEG1)
S2E13: XviD,  352x240, 298 KB, 607 kb/s (converted from MPEG1)
S2E14: XviD,  320x240, 276 KB, 607 kb/s (converted from ASF)
S2E15: XviD,  320x240, 247 KB, 608 kb/s (converted from ASF)
S2E16: XviD,  320x240, 256 KB, 609 kb/s (converted from ASF)
S2E18: XviD,  320x240, 180 KB, 407 kb/s (converted from FLV)
S2E20: XviD,  320x240, 169 KB, 404 kb/s (converted from ASF)
S2E21: XviD,  320x240, 270 KB, 608 kb/s (converted from ASF)
S2E22: XviD,  320x240, 202 KB, 407 kb/s (converted from FLV)
S2E23: XviD,  512x384, 351 KB, 705 kb/s
S3E01: XviD,  512x384, 351 KB, 715 kb/s
S3E02: XviD,  512x384, 351 KB, 758 kb/s
S3E03: XviD,  512x384, 351 KB, 734 kb/s
S3E04: XviD,  512x384, 350 KB, 802 kb/s
S3E06: XviD,  512x384, 351 KB, 763 kb/s
S3E08: XviD,  512x384, 351 KB, 748 kb/s
S3E10: XviD,  512x384, 347 KB, 729 kb/s
S3E12: XviD,  512x384, 351 KB, 728 kb/s
S3E13: XviD,  512x384, 351 KB, 713 kb/s
S3E14: XviD,  320x240, 159 KB, 272 kb/s
S3E15: XviD,  320x240, 170 KB, 267 kb/s
S3E16: XviD,  512x384, 351 KB, 706 kb/s
S3E17: XviD,  512x384, 352 KB, 754 kb/s
S3E18: XviD,  336x256, 164 KB, 270 kb/s
S3E19: XviD,  336x256, 157 KB, 243 kb/s
S3E20: XviD,  512x384, 351 KB, 729 kb/s
S3E21: XviD,  512x384, 351 KB, 736 kb/s
S3E22: XviD,  480x368, 219 KB, 413 kb/s
S3E23: XviD,  512x384, 349 KB, 712 kb/s
