GINO VANELLI

01.its only love                             [04:09]
02.venus envy                                [04:11]
03.these are the days                        [04:11]
04.rock me to heaven                         [04:24]
05.eastwest world                            [04:25]
06.the great divide                          [04:32]
07.right where i am                          [04:03]
08.wild horses                               [04:42]
09.hurts to be in love                       [03:44]
10.black cars                                [03:12]
11.just a motion away                        [04:19]
12.living inside myself                      [04:25]
13.i just wanna stop                         [03:41]
14.people gotta move                         [03:19]

By http://www.pctrecords.com your web of music torrents!!
