VPRO Song Of The Year 2007

200 songs
1,15 GB
total time 12:03:16
bitrates varying from 128 to 320

(*) The song titles are without accents to enable this torrent, but all tags are right.


track list:							Bitrate	Play time

!!! - Heart Of Hearts						192	06:02
1990s - See You At The Lights					VBR309	02:55
30 Seconds To Mars - The Kill					VBR240	03:51
Adept - U Can Have It Ur Way					160	03:45
Admiral Freebee - Living For The Weekend			VBR265	02:58
Against Me! - Thrash Unreal					256	04:17
Air Traffic - Never Even Told Me Her Name			320	02:44
Alamo Race Track - The Northern Territory			VBR226	04:10
Albert Hammond Jr. - Back To The 101				VBR185	03:23
All Missing Pieces - I Want You To Know				192	02:49
Amy Winehouse - Rehab						320	03:35
Animal Collective - Peacebone					192	05:14
Arcade Fire - Keep The Car Running				VBR244	03:26
Arctic Monkeys - Brianstorm					320	02:49
Aux Raus - Fall							320	03:26
Babyshambles - Delivery						VBR277	02:42
Band Of Horses - Is There A Ghost				VBR174	03:02
Bat For Lashes - What's A Girl To Do				VBR160	02:45
Battles - Atlas							192	07:09
Beatsteaks - Meantime						128	02:30
Beirut - Nantes							320	03:51
Bishop Allen - Click, Click, Click, Click			192	03:05
Bjork - Earth Intruders (*)					VBR250	03:18
Black Rebel Motorcycle Club - Weapon Of Choice			VBR219	02:51
Black Stone Cherry - Violator Girl				VBR259	03:23
Blitzen Trapper - Wild Mountain Nation				VBR277	02:39
Bloc Party - The Prayer						VBR238	03:45
Bonde Do Role - Solta O Frango					192	02:15
Bright Eyes - Four Winds					VBR251	04:10
Bromheads Jacket - Woolley Bridge				192	02:44
Calvin Harris - Acceptable In The 80's				VBR237	03:31
Charlie Dee - I Know (*)					VBR196	03:27
Check 1-2 - I Won't Cry						192	03:46
Clap Your Hands Say Yeah - Satan Said Dance			VBR213	05:26
Clipse - Wamp Wamp (What It Do)					VBR199	04:00
C-Mon & Kypski - Make My Day					VBR199	03:58
Cocorosie - Rainbowarriors					192	03:55
Cold War Kids - Hang Me Up To Dry				320	03:38
Coparck - A Good Year For The Robots				VBR219	04:01
Creature With The Atom Brain - 16 Inch Revolver			VBR200	03:28
Damien Rice - 9 Crimes						320	03:39
Dan Le Sac Vs Scroobius Pip - Thou Shalt Always Kill		320	05:19
Dan Sartain - Thought It Over					VBR228	02:42
Datarock - Fa-Fa-Fa						192	05:07
David Gilmour Girls - Young Rats				320	03:05
De Jeugd Van Tegenwoordig - Shenkie				VBR197	05:37
De Kift - De Reiziger						320	03:40
Digitalism - Pogo						VBR223	03:46
Dinosaur Jr. - Been There All The Time				320	03:40
Dizzee Rascal - Pussyole (Oldskool)				VBR156	03:27
Do The Undo - The Concrete Floor				VBR229	03:19
DuvelDuvel - Schijt Is De Norm					VBR154	02:24
Editors - Smokers Outside The Hospital Doors			VBR215	04:57
El Guapo Stuntteam - Back From The Grave			VBR215	02:56
Enter Shikari - Sorry, You're Not A Winner			VBR223	03:51
Fall Out Boy - This Ain't A Scene, It's An Arms Race		VBR229	03:32
Feist - 1234							VBR216	03:01
Fiction Plane - Two Sisters					VBR195	03:51
Fink - This Is The Thing					VBR166	04:32
Five O'Clock Heroes - Skin Deep					VBR161	02:55
Flip Kowlier - De Grotste Lul Van 't Stad			VBR229	02:50
Foo Fighters - The Pretender					256	04:29
Fuck The Writer - Loveyoustill					192	04:23
Gogol Bordello - Wonderlust King				VBR226	03:58
Goose - Low Mode						VBR197	03:18
Green Day - Working Class Hero					VBR187	04:23
Green Hornet - Wave Score					VBR222	02:50
Grinderman - No Pussy Blues					320	04:24
Gruff Rhys - Candylion						VBR164	02:30
Hard-Fi - Suburban Knights					VBR217	03:47
Heideroosjes - Lekker Belangrijk				192	02:48
Herman DÃ¼ne - I Wish That I Could See You Soon			192	02:49
I'm From Barcelona - We're From Barcelona			160	03:00
Interpol - The Heinrich Maneuver				VBR285	03:28
Iron & Wine - Boy With A Coin					320	04:05
Jaap Boots - Kutwijf						VBR186	02:48
Jack Penate - Spit At Stars					VBR216	02:33
Jamie T - Sheila						160	04:19
Jay-Z - Roc Boys (And The Winner Is)				192	04:15
Jens Lekman - Friday Night At The Drive-In Bingo		VBR203	04:13
Jeremy's - Saturday						128	02:43
Johan - She's Got A Way With Men				VBR214	03:19
Johnossi - Execution Song					256	02:22
Jose Gonzalez - Down The Line (*)				192	03:10
Juliette & The Licks - Sticky Honey				VBR229	02:21
Just Jack - Starz in Their Eyes					VBR206	04:55
Justice - D.A.N.C.E.						320	04:34
Kaiser Chiefs - Ruby						VBR221	03:25
Kanye West - Stronger						VBR196	05:12
Kasabian - Shoot The Runner					192	03:26
Kate Nash - Foundations						VBR230	04:05
Kings Of Leon - Charmer						VBR196	02:56
Klaxons - Golden Skans						192	02:45
Kubus & BangBang - Happy					192	04:39
LCD Soundsystem - North American Scum				320	05:26
Lefties Soul Connection - Fais Do-Do				VBR180	02:58
Les Savy Fav - What Would Wolves Do				VBR195	02:56
Liars - Houseclouds						224	03:21
Lilian Hak - Stitch My Name					192	03:03
Linkin Park - Bleed It Out					224	02:46
Loney, Dear - Saturday Waits					VBR248	03:39
Los Campesinos! - We Throw Parties, You Throw Knives		VBR230	02:19
Lucky Fonz III - Once I Was A Lady				128	03:57
M.I.A. - Jimmy							128	03:28
Malajube - Montreal -40 C (*)					160	03:19
Malle Pietje And The Bimbos - Keihard Beuken			192	02:17
Manic Street Preachers - Your Love Alone Is Not Enough		VBR261	03:59
Mark Ronson - Stop Me						VBR203	03:58
Mason Vs Princess Superstar - Perfect (Exceeder)		192	02:41
Maximo Park - Our Velocity (*)					VBR255	03:20
Mika - Grace Kelly						VBR254	03:07
Modest Mouse - Dashboard					192	04:08
Moke - Last Chance						VBR213	04:06
New Young Pony Club - The Bomb					VBR176	04:16
Nina - Straattaal						VBR224	01:54
Nine Inch Nails - Survivalism					VBR267	04:23
Noisettes - Don't Give Up					VBR286	02:31
Okkervil River - Our Live Is Not A Movie Or Maybe		192	04:24
Patrick Watson - The Great Escape				VBR211	03:07
Pete Philly & Perquisite - Time Flies				VBR181	04:20
Peter Bjorn And John - Young Folks				320	04:39
Peter Pan Speedrock - (Hangin' With The) Wrong Crowd		VBR228	01:53
Pharoahe Monch - Body Baby					VBR179	03:16
Pinback - From Nothing To Nowhere				VBR221	03:27
Pop Levi - Pick-Me-Up Uppercut					320	03:26
Prince - Guitar							320	03:40
Queens Of The Stone Age - Sick, Sick, Sick			320	03:37
Radiohead - 15 Step						160	03:57
Razorlight - Before I Fall To Pieces				320	03:22
Red Hot Chili Peppers - Desecration Smile			320	04:02
Relax - Bittersweet						VBR182	03:30
Reverend And The Makers - Heavyweight Champion Of The World	VBR241	03:30
Rihanna - Umbrella						192	04:14
Roisin Murphy - Overpowered (*)					320	05:08
Samim - Heater							192	03:01
Scissor Sisters - She's My Man					VBR229	05:31
Serj Tankian - Empty Walls					VBR222	03:49
Shantel - Disko Partizani					192	04:53
Shy Child - Drop The Phone					VBR197	03:03
Simian Mobile Disco - It's The Beat				VBR215	03:22
Snow Patrol - Shut Your Eyes					320	03:12
Social Distortion - Far Behind					320	04:03
Sparta - Taking Back Control					128	03:41
Spinvis - Wespen Op De Appeltaart				VBR260	04:30
Spoon - The Underdog						192	03:42
Starfucker - Boys Will Be Boys					VBR179	03:00
Stars - Take Me To The Riot					VBR235	03:48
Sticks & Delic - Spaanse Vlieg					VBR179	04:13
Super Furry Animals - Show Your Hand				VBR249	02:49
The Apers - Reanimate My Heart					VBR268	03:48
The Bees - Listening Man					VBR185	04:44
The Black Angels - The First Vietnamese War			192	03:30
The Blood Brothers - Set Fire To The Face On Fire		VBR232	02:19
The Bloody Honkies - What I Got					VBR229	04:17
The Chemical Brothers - Do It Again				192	05:33
The Enemy - Away From Here					VBR268	02:59
The Films - Black Shoes						VBR286	02:26
The Girls - Best Shot						192	01:48
The Go! Team - Grip Like a Vice					VBR199	04:01
The Good, The Bad & The Queen - Kingdom Of Doom			320	02:42
The Gossip - Standing In The Way Of Control			192	04:16
The Hives - Tick Tick Boom					VBR236	03:39
The Hold Steady - Chips Ahoy!					VBR217	03:09
The Horrors - Gloves						VBR201	02:50
The Horse Company - Own Sweet Time				320	03:08
The Killers - Bones						320	03:47
The Kooks - Ooh La						VBR213	03:30
The Long Blondes - Once And Never Again				320	02:55
The Madd - Jump Now!						128	02:23
The Mighty Roars - Sellotape					320	02:17
The National - Mistaken For Strangers				320	03:33
The New Pornographers - My Rights Versus Yours			192	04:17
The Opposites Ft. Dio & Willie Wartaal - Dom, Lomp & Famous	VBR225	03:43
The Pierces - Boring						320	03:28
The Pigeon Detectives - I'm Not Sorry				VBR185	03:43
The Ponys - Double Vision					224	03:37
The Quotes - She Got Me						160	02:10
The Rifles - Peace & Quiet					VBR261	02:42
The Shins - Phantom Limb					160	04:53
The Smashing Pumpkins - Tarantula				VBR225	03:51
The Stooges - My Idea Of Fun					192	03:17
The Sugarettes - Readysteady					128	02:26
The Tellers - Second Category					VBR293	02:05
The View - Same Jeans						192	03:37
The White Stripes - Icky Thump					320	04:14
The Wombats - Let's Dance To Joy Division			VBR196	02:56
Tim Armstrong - Into Action					192	03:36
Timbaland - The Way I Are					VBR216	03:50
Two Gallants - Despite What You've Been Told			VBR202	04:29
Typhoon - Sprokkeldagen						VBR148	03:30
Underworld - Crocodile						192	06:30
UNKLE - Burn My Shadow						VBR192	04:57
Velvet Revolver - She Builds Quick Machines			256	03:42
Von Sudenfed - Fledermaus Can't Get It (*)			256	03:56
Voxtrot - Firecracker						VBR212	03:43
