Ladda hem och njut!
         .:Û Tracklist
         ßßßßßßßßßßßßßßß

              ##  Track                        Length  

              01  Ur Jord                       5:09
              02  Känn Dig Själv                3:11
              03  Propaganda                    3:30
              04  Albanija                      3:08
              05  Sparkar Och Slag              5:25
              06  Andetag                       4:14
              07  Babylon Faller                4:19
              08  I Mitt Blod                   4:31
              09  Barfota                       6:03
              10  Ingenting Kvar                4:31
              11  Bakslag                       2:32
