no  time   title

01  06:00  Undercover Elephant - Frantic
02  05:29  Midas - Groove Control
03  07:28  Jimmy J & Cru-L-T - Six Days
04  06:47  Happy Tunes - Anthem
05  06:12  2 Croozin' - 2 Pumpin'
06  05:53  Red Alert & Mike Slammer - In Effect
           (Sy & Unknown Remix)
07  06:40  Happy Tunes - Bust It
08  05:16  Sy & Unknown - Sudden Impact
09  06:05  Dougal & Mickey Skeedale - Innervation
10  05:26  DJ Vibes & Wishdokta - I Want Your Love
11  05:23  Ravers Choice - Giving It All I Got
12  05:52  Ravers Choice - Total Mayhem
