User Type,Username,Date,Text
,KayKay,2004-11-05T08:37Z,Fucking beautiful
,morten93,2004-11-05T13:12Z,Nice One Brova!
,alhadji,2004-11-10T23:00Z,skivan var ok men eminem har tappat stilen tyvär
,dahlin,2004-11-11T23:03Z,skön han e :D
,Lord_Snake,2004-11-14T09:28Z,Min spanska är inte något vidare. Vilket är lösenordet?
,cam_neely,2004-11-17T23:13Z,Någon som har lösenordet eller?
,derian,2004-11-18T10:49Z,Nice Upload! ;D
,derian,2004-11-18T10:49Z,More of thes Folks!
,DreamDog,2004-11-18T17:09Z,"maybe you could repack the release without the pass before uploading it next time? (maybe even remove the useless .txt files/etc., since usually lamerz who password files aren't the ones releasing them, they're just stealing/nuking them)"
,xXx40,2004-11-19T18:46Z,"Vad e detta för skit, passwordet finns ju fan inte där på sidan. Har man tankat skiten i onödan, blir så trött!!!! "
,defcondude,2004-11-21T08:10Z,"Titta  under låt listan
Password: t34r399w546m197"
,Prim3r,2004-11-26T23:03Z,haha ägd :)
,bingo_ola,2004-12-06T12:28Z,tack för skivan.. det var skysst att nån la upp den... det som dessvärre är synd att eminem inte är lika grym längre.. han borde köra sin gamla stil isstället.. //:(
,Packe83,2004-12-11T12:09Z,Måste man använda lösenordet på varje låt eller kan man sippa det?
,hallebrand,2004-12-15T10:02Z,Tack för lösen :)
,flyingfinne,2004-12-24T17:08Z,;)
,zoom840,2004-12-24T21:20Z,"Lite onödigt med lösen tycker jag... men man behöver inte skriva in det varje gång man ska lyssna på en låt iaf ;) 
Bara att markera filerna, och flytta dom till en annan katalog på datorn. 
Var tvungen att skriva in lösen när jag flyttade filerna, men nu fungerar det perfekt!"
,Joker67,2004-12-31T12:08Z,Vet inte fal JAG tycker han är så bra men vad gör man inte för sin sån han diggar honom. i mina ögon set så har jag missat nåt i uppfostran heheh:):):)
,Hanz,2005-01-04T14:50Z,Go Eminem Go
,Wolfeee,2005-01-07T23:26Z,"Min spanska é inte heller tipp topp, hehe... Hur får man tag i lösenordet?"
,mcobbe,2005-01-17T11:55Z,det står ju på informationen ;)
,funky-g,2005-01-19T23:50Z,AAAAAAAHH hvor står det jævela passordet?????? 
,funky-g,2005-01-19T23:51Z,hahaha :)
,misty_frog,2005-01-20T09:19Z,lösenordet står ju ovan i listan över filerna. 
,Pankond,2005-01-25T17:30Z,eminems just cool!
,Webee,2005-01-29T23:32Z,"t34r399w546m197


:D"
